Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly Stats GC Percent	Assembly Stats Total Sequence Length	Organelle Assembly Name	Organism Name	Organism Taxonomic ID	Annotation Count Gene Protein-coding
GCF_907163125.1	Norway				33	2979886		Cloacibacterium caeni	2004710	2688
GCF_916098255.1	Sweden	Canis lupus familiaris		feces	34.5	1660278		Campylobacter upsaliensis	28080	1651
GCF_916098265.1	Sweden	Canis lupus familiaris		feces	35	1656401		Campylobacter upsaliensis	28080	1697
GCF_919946725.1	Sweden	Homo sapiens		blood	38	1805497		Haemophilus influenzae	727	1647
GCF_919949215.1	USA	Homo sapiens		middle ear	38	1917048		Haemophilus influenzae	727	1783
GCF_949281945.1	Sweden	Gallus gallus		Chicken caeca	30.5	1673246		Campylobacter jejuni	197	1646
GCF_949282005.1	Sweden	Gallus gallus		Chicken caeca	30.5	1753518		Campylobacter jejuni	197	1751
GCF_949282015.1	Sweden	Gallus gallus		Chicken caeca	30.5	1711097		Campylobacter jejuni	197	1697
GCF_949282045.1	Sweden	Gallus gallus		Chicken caeca	30.5	1711096		Campylobacter jejuni	197	1696
GCF_949282055.1	Sweden	Gallus gallus		Chicken caeca	30.5	1753524		Campylobacter jejuni	197	1751
GCF_949282065.1	Sweden	Bos taurus		Milk filter	30.5	1760653		Campylobacter jejuni	197	1753
GCF_949361555.1	not provided	not provided		not provided	31	1805725		Campylobacter coli	195	1792
GCF_000007265.1					35.5	2160267		Streptococcus agalactiae 2603V/R	208435	2053
GCF_000008805.1					51.5	2272360		Neisseria meningitidis MC58	122586	2001
GCF_000009765.2					70.5	9119895		Streptomyces avermitilis MA-4680 = NBRC 14893	227882	7677
GCF_000010605.1					72	8545929		Streptomyces griseus subsp. griseus NBRC 13350	455632	7031
GCF_000018185.1					41.5	2038034		Streptococcus suis GZ1	423211	1823
GCF_000024825.1					45	5089025		Vibrio antiquarius	150340	4428
GCF_000026725.1	China:Sichuan Province			human case of meningitis	41	2095898		Streptococcus suis SC84	568813	1921
GCF_000026745.1	Viet Nam:Ho Chi Minh City			human case of meningitis	41	2170808		Streptococcus suis BM407	568814	1991
GCF_000091905.1					41.5	2007491		Streptococcus suis P1/7	218494	1835
GCF_000092385.1					71	11936683		Streptomyces bingchenggensis BCW-1	749414	9702
GCF_000168355.3		pig			41	2176073		Streptococcus suis 05HAS68	672190	2021
GCF_000177195.2	Missing			Cameron Currie (currie@bact.wisc.edu)	71.5	7414440		Streptomyces sp. SirexAA-E	862751	6385
GCF_000186405.1					41	2137435		Streptococcus suis JS14	945704	1922
GCF_000191525.1					51.5	2248966		Neisseria meningitidis NZ-05/33	935589	2020
GCF_000196095.1					45.5	5165770		Vibrio parahaemolyticus RIMD 2210633	223926	4506
GCF_000219415.3	Spain	Phaseolus vulgaris			62	7045697		Sinorhizobium fredii GR64	882101	6256
GCF_000220705.2	China: Dalian			marine sediment	73	7137891		Streptomyces xinghaiensis S187	1038929	5945
GCF_000231865.1					41	2096866		Streptococcus suis SS12	1005041	1941
GCF_000231925.1					41.5	2034321		Streptococcus suis ST1	1004951	1841
GCF_000233575.1					41	2038409		Streptococcus suis A7	993512	1835
GCF_000294495.1					41.5	1980887		Streptococcus suis S735	1184252	1786
GCF_000331185.2					72	9643891		Streptomyces rimosus subsp. rimosus ATCC 10970	1265868	8248
GCF_000344765.1					41	2138568		Streptococcus suis SC070731	1246365	1946
GCF_000385945.1					71.5	7905758		Streptomyces microflavus DSM 40593	1303692	6858
GCF_000390245.1	China	pig			41.5	2038146		Streptococcus suis TL13	1276647	1883
GCF_000427035.1					35.5	2138694		Streptococcus agalactiae 09mas018883	1309806	2014
GCF_000494895.1					41	2240234		Streptococcus suis T15	1340847	2091
GCF_000512395.1	missing	pig	missing	diseased pig	40.5	2307684		Pasteurella multocida subsp. multocida str. HB03	1147130	2068
GCF_000739105.1	missing			unknown	72	8345283		Streptomyces lividans TK24	457428	7338
GCF_000746665.1	Taiwan: Kaohsiung	Oreochromis			46.5	5127345		Vibrio vulnificus	672	4411
GCF_000782855.1	USA: Atlanta, GA	Homo sapiens			35.5	2013842		Streptococcus agalactiae CNCTC 10/84	1427374	1902
GCF_000800275.1	Saudi Arabia: Mecca	Homo sapiens	Invasive meningococcal disease	missing	51.5	2179483		Neisseria meningitidis M7124	1095685	1952
GCF_000973565.1					40.5	2271688		Pasteurella multocida OH1905	1304890	2002
GCF_000993745.1	China: Ziyang City, Sichuan Province	pig	meningitis	Ziyang City	41	2094898		Streptococcus suis	1307	1915
GCF_001026925.1	USA: Houston	Homo sapiens	Invasive	blood	35.5	2092071		Streptococcus agalactiae	1311	1959
GCF_001029835.1	USA				51.5	2324822		Neisseria meningitidis M0579	935590	2070
GCF_001278095.1	Malaysia:Penang	Not applicable			72	8307279		Streptomyces sp. CFMR 7	1649184	6918
GCF_001281025.1	Korea: Gwangju	Homo sapiens			40	1906344		Streptococcus mitis	28037	1772
GCF_001431765.1	China:Huazhong Agricultural University, Wuhan, Hubei			Protoplast breeding	73.5	7258031		Streptomyces sp. FR-008	206662	6086
GCF_001448985.1	USA: Salinas, California	Canis lupus familiaris breed Parson Russell Terrier and Chihuahua mix		gumline	35.5	2165968		Streptococcus agalactiae	1311	2038
GCF_001482385.1	Indian Ocean: Bay of Bengal			Sea water	47.5	5913780		Pseudoalteromonas rubra	43658	4791
GCF_001572685.1	Canada	pig	Meningitis	missing	41	2302206		Streptococcus suis	1307	2164
GCF_001610935.1	Canada	pig			41	2146151		Streptococcus suis	1307	1997
GCF_001611795.1	China: Qinghai			soil	71.5	9083372		Streptomyces qaidamensis	1783515	7894
GCF_001632865.1	Italy: Rome			soil	72.5	8137876		Streptomyces ambofaciens	1889	6948
GCF_001660045.1	United Kingdom				72.5	7766531		Streptomyces parvulus	146923	6823
GCF_001704195.1	China:Ya'an			rhizosphere soil of healthy poplars	73.5	7070328		Streptomyces sampsonii	42239	5982
GCF_001712835.1	NA	Homo sapiens	NA	NA	35.5	2172875		Streptococcus agalactiae	1311	2034
GCF_001735805.1	South Korea: Gyewon-ri, Miwon-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do				71	9698948		Streptomyces fodineus	1904616	8246
GCF_001758605.1	South Korea: Pusan	Homo sapiens		patient	45.5	5015214		Vibrio parahaemolyticus	670	4381
GCF_001879585.1	South Korea			Crab Marinated in Soy Sauce	45	5339691		Vibrio parahaemolyticus	670	4685
GCF_001886595.1	United Kingdom: Norwich			missing	72.5	8380320		Streptomyces venezuelae	54571	7435
GCF_001932715.1	China:Taiwan	Homo sapiens		cervix	35.5	2092570		Streptococcus agalactiae	1311	1965
GCF_001936415.1	China:Jiangsu	not collected		not collected	41	2094030		Streptococcus suis	1307	1922
GCF_001975025.1	China: Shanxi	alfalfa rhizosphere		root	72	8625867		Streptomyces alfalfae	1642299	7233
GCF_001975365.1	Unknown			Unknown	52.5	4668861		Salmonella enterica subsp. enterica serovar Djakarta str. S-1087	1242091	4223
GCF_001984445.1	USA: Northern Minnesota			soil	72	8243179		Streptomyces lydicus	47763	7092
GCF_002021755.1	China: Xisha Archipelago, South China Sea				45.5	5890205		Vibrio owensii	696485	5087
GCF_002073295.2	USA:MD	Chicken	Septicaemia due to fowl cholera	liver	40.5	2295191		Pasteurella multocida	747	2070
GCF_002073775.2	India	Homo sapiens	Vibrio infection	human	45.5	5173292		Vibrio parahaemolyticus	670	4513
GCF_002094995.1	South Korea	turfgrass		soil	72.5	7601864		Streptomyces sp. S8	1837283	6339
GCF_002111405.1	China: Sichuan	diseased pig			41	2095966		Streptococcus suis	1307	1913
GCF_002189675.2	China: Shandong			peony rhizosphere	72	9967549		Streptomyces alboflavus	67267	8044
GCF_002189695.1	China	Homo sapiens	not collected	not collected	41	2067932		Streptococcus suis	1307	1889
GCF_002197025.1	USA: California	Medicago sativa		missing	62	7205853		Sinorhizobium meliloti	382	6595
GCF_002356235.1	USA	Morone chrysops x Morone saxatilis			41	4293175		Photobacterium damselae subsp. piscicida	38294	3699
GCF_002393385.1	USA:DC	Homo sapiens	Cellullitis	abscess	40.5	2346722		Pasteurella multocida	747	2146
GCF_002556545.1	Kenya	Tetraponera penzigi		Kenya	71.5	9611874		Streptomyces formicae	1616117	8097
GCF_002591295.1	USA:DC	Homo sapiens	Cellullitis	wound	40.5	2346712		Pasteurella multocida	747	2145
GCF_002688665.1	China: Jiangsu Province	swine			41	2137649		Streptococcus suis	1307	1938
GCF_002803845.1	missing			missing	72.5	8932792		Streptomyces lavendulae subsp. lavendulae	58340	7776
GCF_002804165.1	Brazil	Rhizosphere of the Triticum aestivum		Brazillian Cerrado Forest soil	72	7600475		Streptomyces cavourensis	67258	6344
GCF_002850295.1	China: Shenzhen	missing		missing	45	6185822		Vibrio harveyi	669	5335
GCF_002859465.1	USA:Kentucky	Bos taurus		missing	40.5	2530586		Pasteurella multocida	747	2378
GCF_002951835.1	missing	Homo sapiens		oral cavities	41.5	2469862		Simonsiella muelleri ATCC 29453	641147	2378
GCF_003054555.1	Belgium: Comblain-au-Pont			cave	70	8570191		Streptomyces lunaelactis	1535768	7383
GCF_003061265.1	China: Yunnan, PuEr City, SiMao District			Rodent	40.5	2277636		Pasteurella multocida	747	2057
GCF_003074055.1	China: Zhangzhou city, Fujian province			mangrove soil	72	7641029		Streptomyces nigra	1827580	6754
GCF_003111645.1	South Korea:Tae-an sediment			oil-contaminated sediment	63	4572081		Parazoarcus communis	41977	4120
GCF_003111665.1	South Korea:Tae-an sediment			oil-contaminated sediment	63	4886933		Parazoarcus communis	41977	4390
GCF_003208035.1	China: Tianjin			soil actinomycetes	72.5	8145579		Streptomyces actuosus	1885	7210
GCF_003261055.1	China:XiangTan			soil	71	10239272		Streptomyces cadmiisoli	2184053	8586
GCF_003268535.2	Uruguay	potato		common scab lesions on potato tubers	71.5	10171198		Streptomyces sp. ST1015	1848900	8587
GCF_003288075.1	China: Shenzhen	Homo sapiens	neonatal sepsis	blood sample from a newborn	35.5	2150631		Streptococcus agalactiae	1311	2028
GCF_003288175.1	China: Shanghai	pig		lung	41	2243598		Streptococcus suis	1307	2120
GCF_003324755.1	missing			missing	51	5482544		Salmonella enterica subsp. diarizonae serovar 48:i:z	1192842	4965
GCF_003352445.1	China: mountain slope in Yunnan province			soil	72	7613757		Streptomyces cavourensis	67258	6367
GCF_003369795.1	China: Huanglongcave, Zhangjiajie			soil	72	7787608		Streptomyces sp. CB09001	2083284	6823
GCF_003391135.1	Japan			soil	71	8809793		Streptoverticillium olivoreticuli subsp. olivoreticuli	284034	7307
GCF_003428925.1	South Korea: Koyang			soil	73	7220839		Streptomyces koyangensis	188770	6103
GCF_003522555.1	South Korea			Mactra veneriformis	45.5	6019009		Vibrio vulnificus	672	5439
GCF_003595235.1	South Korea: Chungnam National University, 99, Daehak-ro, Yuseong-gu, Daejeon	Artemisia vulgaris		Plant root	71	9512378		Streptomyces griseorubiginosus	67304	8279
GCF_003595545.1	Canada: Newfoundland	Solanum tuberosum		Scab lesion on potato tuber	71	11655206		Streptomyces sp. 11-1-2	1851167	9374
GCF_003609975.1	Japan:Miyagi, Sendai				40	2090539		Streptococcus ruminantium	1917441	1826
GCF_003627155.1	Korea: Gwangju	Homo sapiens	Pericoronitis	Pericoronitis	40	1972481		Streptococcus gwangjuensis	1433513	1810
GCF_003812465.1	not applicable	Homo sapiens	Unknown	Miscellaneous vagina	35.5	2157002		Streptococcus sp. FDAARGOS_521	2420309	2042
GCF_003950055.1	South Korea	Kiwifruit			72	8082236		Streptomyces sp. KPB2	2305221	7026
GCF_004006515.1	China: Shanghai			missing	45.5	5168640		Vibrio parahaemolyticus	670	4512
GCF_004353525.1	China			oily-sludge of Shengli oilfield	45.5	3314304		Zhaonella formicivorans	2528593	3082
GCF_004524875.1	China: Seaside Wetland around Yalujiang river			sediment from seaside wetland around Yalujiang river	71	7461832		Streptomyces sp. S501	2420135	6267
GCF_004795715.1	Viet Nam: Tra Vinh province	Phyllanthus urinaria L			72.5	8184045		Streptomyces sp. SS52	2563602	6948
GCF_005860785.2	Antarctica			soil	70.5	9564008		Streptomyces sp. So13.3	2136173	8274
GCF_006088715.1	China: rainy forest in Xishuangbanna			soil	72.5	11098444		Streptomyces sp. YIM 121038	2136401	9018
GCF_006229535.1	Slovenia:Ljubljana			lab	72	9658503		Streptomyces rimosus	1927	8270
GCF_006232125.1	China	Capra hircus			40	2349898		Pasteurella multocida subsp. multocida	44283	2155
GCF_006516935.1	China: Nanning	sugarcane		rhizosphere	71	9226027		Streptomyces griseorubiginosus	67304	8002
GCF_006716135.1	Missing			DSMZ	72.5	7766581		Streptomyces calvus	67282	6452
GCF_006874565.1	Canada: Alberta	Homo sapiens	wound infection	Soft tissue wound	35.5	2095031		Streptococcus agalactiae	1311	1957
GCF_007113405.2	France: Montiers			Microscale soil grain	70	11765395		Streptomyces sp. RLB1-8	2594453	10139
GCF_007113425.2	France: Montiers			Microscale soil grain	70	12022941		Streptomyces sp. RLB3-17	2594455	10468
GCF_007113505.2	France: Montiers			Microscale soil grain	70	12037094		Streptomyces sp. S1A1-8	2594460	10389
GCF_007113525.2	France: Montiers			Microscale soil grain	70	12201201		Streptomyces sp. RLB1-9	2594454	10618
GCF_007113665.2	France: Montiers			Microscale soil grain	70	11934630		Streptomyces sp. S1D4-14	2594461	10407
GCF_007363395.1	USA			soil sample	72.5	9505665		Streptomyces spectabilis	68270	7840
GCF_008639045.1	not collected			not collected	72.5	7893803		Streptomyces venezuelae	54571	6888
GCF_008639165.1	Venezuela: Caracas			soil	72.5	8223505		Streptomyces venezuelae ATCC 10712	953739	7276
GCF_008693585.1	USA: DC	Homo sapiens	Unknown	clinical isolate	36	2210718		Streptococcus agalactiae	1311	2094
GCF_008704395.1	missing			soil	71	7962786		Streptomyces alboniger	132473	6753
GCF_008704445.1	missing			soil	72	7647592		Streptomyces prasinus	67345	6377
GCF_008704515.1	missing			soil	72.5	7280536		Streptomyces viridosporus T7A	665577	6270
GCF_008704555.1	missing			soil	72	7581562		Streptomyces nitrosporeus	28894	6466
GCF_008704655.1	missing			soil	72	9361154		Streptomyces rimosus	1927	7978
GCF_008704795.1	missing			soil	72.5	9807160		Streptomyces spectabilis	68270	8082
GCF_008704995.1	missing			soil	71	7772587		Streptomyces nodosus	40318	6618
GCF_009495655.1	China: Yunnan province			soil	72	8822782		Streptomyces sp. SYP-A7193	2662065	7674
GCF_009498275.1	China: Loudi City			soil	71	8880330		Streptomyces fagopyri	2662397	7456
GCF_009684715.1	Denmark	California sea lion		oral cavity	36.5	2019124		Otariodibacter oris	1032623	1829
GCF_009739905.1	Japan	not applicable			72.5	7078240		Streptomyces ficellus	1977088	6244
GCF_009763845.1	USA	Missing	Missing	other	44.5	5344305		Vibrio alginolyticus	663	4656
GCF_009789635.1	China: Qinghai Lake	not applicable		lichen	71.5	7615276		Streptomyces sp. QHH-9511	2684468	6611
GCF_009857135.1	China: Fujian			mangrove soil	72	7762826		Streptomyces sp. HM190	2695266	6397
GCF_009867075.1	China: South China Sea			Deep sea	73.5	8457300		Streptomyces sp. NHF165	2175864	6624
GCF_009883815.1	China: Hebei	Penaeus vannamei		AHPND infected Litopenaeus vannamei	45.5	5347867		Vibrio parahaemolyticus	670	4670
GCF_009883835.1	China: Cangzhou, Hebei	Penaeus japonicus		AHPND infected Penaeus japonicus	45.5	5563056		Vibrio parahaemolyticus	670	4905
GCF_010384365.1	missing	Leontopodium nivale		rhizosphere	70.5	7940295		Streptomyces sp. S4.7	2705439	6650
GCF_010669165.1	China: Hainan Province (Hainan Island)			soil	71.5	9738430		Streptomyces aureoverticillatus	66871	8047
GCF_011398355.1	Japan:Hokkaido, Akkeshi, Lake Akkeshi				45.5	2722826		Thiosulfatimonas sediminis	2675054	2482
GCF_011650445.1	Viet Nam: Danang			Marine	72.5	8341703		Streptomyces sp. VN1	1821625	7083
GCF_011694815.1	China: Xichang City,Sichuan province			soil	72	7716784		Streptomyces liangshanensis	2717324	6542
GCF_011801455.1	China			water	45	5108924		Vibrio diabolicus	50719	4461
GCF_012044595.1	France: Paris			soil	72	8473575		Streptomyces antibioticus	1890	7374
GCF_013009255.1	China: Xinjiang, Tarim River	Populus euphratica		soil	71	9460473		Streptomyces sp. Z423-1	2730915	8227
GCF_013357745.1	USA:California,San Pedro Creek			Water sample	47.5	4177459		Vibrio cholerae	666	3639
GCF_013364315.1	China:Heilongjiang			soil	71.5	8452583		Streptomyces microflavus	1919	7236
GCF_013364375.1	China:Hainan			marine sediment	72	8359435		Streptomyces sp. NA03103	2742134	7279
GCF_013488085.1	USA: Iowa	Sus scrofa domesticus		unknown	41	2073988		Streptococcus suis	1307	1890
GCF_013488105.1	USA: Montana	Sus scrofa domestica		brain	41	2253996		Streptococcus suis	1307	2090
GCF_013488125.1	USA: Iowa	Sus scrofa domestica		brain	41	2063877		Streptococcus suis	1307	1872
GCF_013488165.1	USA: Iowa	Sus scrofa domesticus		brain	41	2168368		Streptococcus suis	1307	2053
GCF_013488185.1	USA: Iowa	Sus scrofa domestica		pleura	41	2182487		Streptococcus suis	1307	2025
GCF_014083985.1	China: Guangdong			soil	74	6075149		Streptomyces sp. SCUT-3	2684469	5117
GCF_014216335.1	Antarctica: Herring Island			soil	73.5	6996347		Streptomyces rutgersensis	53451	5645
GCF_014218075.1	USA: Houston	Homo sapiens	Sepsis	blood	35.5	2090429		Streptococcus agalactiae	1311	1956
GCF_014218095.1	USA: Houston	Homo sapiens	Sepsis	blood	35.5	2140995		Streptococcus agalactiae	1311	2027
GCF_014218115.1	USA: Houston	Homo sapiens	Sepsis	blood	35.5	2100561		Streptococcus agalactiae	1311	1961
GCF_014218135.1	USA: Houston	Homo sapiens	Sepsis	blood	35.5	2137402		Streptococcus agalactiae	1311	2025
GCF_014218155.1	USA: Houston	Homo sapiens	Sepsis	blood	35.5	2075620		Streptococcus agalactiae	1311	1941
GCF_014295035.1	USA:Carlsbad Caverns National Park	Myotis velifer		missing	73	8416829		Streptomyces buecherae	2763006	6462
GCF_014673495.1	Japan				71.5	9116672		Streptomyces griseofuscus	146922	7934
GCF_014775675.1	Australia: Port Lincoln, South Australia	Seriola lalandi		farmed fish	41	4651851		Photobacterium damselae subsp. piscicida	38294	3943
GCF_014775695.1	Australia: Western Australia	Seriola lalandi			41	4650223		Photobacterium damselae subsp. piscicida	38294	4000
GCF_014843095.1	Netherlands			pig	41.5	2042887		Streptococcus suis	1307	1887
GCF_014852565.2	USA: Idaho	Solanum tuberosum		potato tuber	71	10262635		Streptomyces caniscabiei	2746961	8696
GCF_014874555.1	China	Homo sapiens			41	2115437		Streptococcus suis	1307	1957
GCF_015160855.1	China: Wuhan			missing	71	9959088		Streptomyces ferrugineus	1413221	8666
GCF_015160875.1	Germany: Braunschweig			missing	71.5	7483282		Streptomyces chromofuscus	42881	6422
GCF_015221735.2	USA	Homo sapiens	bacteremia without focus	blood	35.5	2093987		Streptococcus agalactiae CJB111	342617	1959
GCF_015594925.2	USA: Virginia Beach			marine sediment	42	5210103		Vibrio sp. VB16	2785746	4515
GCF_015601545.1	China			marine sediment	73.5	6796629		Streptomyces albidoflavus	1886	5651
GCF_015908985.1	NA	NA			41	2144810		Streptococcus suis	1307	1957
GCF_015910445.1	Atlantic Ocean	Sponge			70	7377472		Streptomyces bathyalis	2710756	6294
GCF_016128295.1	USA: Washington state			soil	72	8856609		Streptomyces alfalfae	1642299	7391
GCF_016406205.1	China: Wenzhou			not collected	40.5	4542390		Providencia rettgeri	587	4042
GCF_016598575.1	China: Qingmei Gang, Sanya, Haina	Mangrove		Tree root	72	5282528		Streptomyces sp. HSG2	2797167	4427
GCF_016598615.1	China:changsha			soil	70	11347200		Streptomyces liliifuscus	2797636	9767
GCF_016658865.1	United Kingdom	Homo sapiens		saliva	40	2033396		Streptococcus mitis	28037	1885
GCF_016803985.1	China:South Sea			Deep sea sediment	73.5	7001532		Streptomyces koyangensis	188770	5858
GCF_016906185.1	Germany: Braunschweig	N/A	Unknown	DSMZ Isolate	72.5	8031696		Streptomyces californicus	67351	6842
GCF_016906205.1	Germany: Braunschweig	N/A	Unknown	DSMZ Isolate	72.5	8082614		Streptomyces californicus	67351	6828
GCF_016906225.1	Germany: Braunschweig	N/A	Unknown	DSMZ Isolate	72.5	8053224		Streptomyces californicus	67351	6853
GCF_016906245.1	Germany: Braunschweig	N/A	Unknown	DSMZ Isolate	72.5	8084048		Streptomyces californicus	67351	6828
GCF_017311125.1	Costa Rica	Paper wasp		pupae	72.5	7958870		Streptomyces sp. M54	2759525	6737
GCF_017352335.1	China: Hangzhou			soil	71	7621081		Streptomyces nodosus	40318	6472
GCF_017358145.1	Spain: Balearic Islands, Formentera, El Pilar de la Mola, Muddy soil from torrent			muddy soil from torrent	71.5	8193177		Streptomyces sp. CA-256286	2801033	7023
GCF_017751265.1	Slovenia			missing	72	9319639		Streptomyces rimosus subsp. rimosus	132474	8028
GCF_017933235.1	Canada: Prince Edward Island	Solanum tuberosum		part of plant	71.5	9982980		Streptomyces scabiei	1930	8299
GCF_018141485.1	China:Xining			rhizosphere soil	72	8278595		Streptomyces alfalfae	1642299	6976
GCF_018255875.1	Slovakia: Institute of Molecular Biology, Bratislava			mutant	73	8035918		Streptomyces lavendulae subsp. lavendulae	58340	6989
GCF_018310575.1	Viet Nam: Con Dao			seagrass	72	8151966		Streptomyces sp. V17-9	2831149	7179
GCF_018604545.1	China: Xiangtan City			soil	71	8599513		Streptomyces koelreuteriae	2838015	7618
GCF_018771265.1	China:Ningbo	Homo sapiens		missing	40	4515465		Providencia rettgeri	587	4005
GCF_018866325.1	China:Wenzhou			sediments	72	7695589		Streptomyces sp. YPW6	2840373	6494
GCF_019048105.1	Germany: Braunschweig	missing	Unknown	missing	40.5	4641942		Providencia rettgeri	587	4150
GCF_019048545.1	Germany: Braunschweig	missing	Unknown	missing	40	4383816		Providencia rettgeri	587	3904
GCF_019056675.1	Indonesia			marine sediment	70.5	8512626		Streptomyces sp. GMY02	1333528	6866
GCF_019378935.1	New Zealand: Khandallah Park, Wellington	Pseudocyphellaria dissimilis			71.5	8874447		Streptomyces anulatus	1892	7518
GCF_019552345.1	USA	Homo sapiens	Invasive	Unknown	35.5	2041494		Streptococcus agalactiae	1311	1916
GCF_019856355.1	China	lab			41	2065481		Streptococcus suis	1307	1895
GCF_019856375.1	China	lab			41.5	2061041		Streptococcus suis	1307	1889
GCF_019856395.1	China	lab			41	2060676		Streptococcus suis	1307	1887
GCF_019856415.1	China	lab			41	2062921		Streptococcus suis	1307	1887
GCF_019856475.1	China	lab			41	2063473		Streptococcus suis	1307	1896
GCF_019933235.1	not collected	missing			72	8116382		Streptomyces angustmyceticus	285578	6878
GCF_020162275.1	Austria:Vienna			missing	41.5	2482394		Simonsiella muelleri	72	2387
GCF_020341595.1	China: Guangdong Pharmaceutical University, Guangzhou	Periplaneta americana		intestine	71.5	8214879		Streptomyces sp. WA6-1-16	2879427	6949
GCF_020535385.1	China: Campus of Guangdong Pharmaceutical University, Guangzhou	Periplaneta americana		intestinal tract	73.5	7294712		Streptomyces sp. WA1-19	2884220	5988
GCF_020542045.1	Canada	Pig	Streptococcus suis - systemic disease	Brain/blood	41.5	1965446		Streptococcus suis	1307	1789
GCF_020717785.1	China:Nanjing			Mactra veneriformis	44.5	5502567		Vibrio diabolicus	50719	4807
GCF_020783455.1	China: Kunming	Peperomia dindygulensis Miq.			71.5	8690773		Streptomyces anulatus	1892	7345
GCF_020790115.1	China:Nanjing			soil	72	7832127		Streptomyces lydicus	47763	6751
GCF_021029465.1	Bolivia			soil	72.5	9635564		Streptomyces sp. Go40/10	2825844	8031
GCF_021049245.1	China: Wushitala, Xinjiang	missing		desert soil	39	4031766		Radiobacillus kanasensis	2844358	3952
GCF_021216675.1	China:GANSU	black gobi			69	5691859		Streptomyces gobiensis	2875706	5122
GCF_021460195.1	United Kingdom	Homo sapiens			35.5	2057026		Streptococcus agalactiae	1311	1926
GCF_021496805.1	USA: Houston	Homo sapiens	Invasive	blood	35.5	2136182		Streptococcus agalactiae	1311	2023
GCF_021496825.1	USA: Houston	Homo sapiens	Invasive	blood	35.5	2099536		Streptococcus agalactiae	1311	1964
GCF_021496845.1	USA: Houston	Homo sapiens	Invasive	blood	35.5	2117704		Streptococcus agalactiae	1311	1979
GCF_021496865.1	USA: Houston	Homo sapiens	Invasive	blood	35.5	2101534		Streptococcus agalactiae	1311	1961
GCF_021496885.1	Gambia	Homo sapiens	Colonizing	Vagina	35.5	2114033		Streptococcus agalactiae	1311	1986
GCF_021496905.1	USA: Houston	Homo sapiens	Sepsis	blood	35.5	2097492		Streptococcus agalactiae	1311	1963
GCF_021496945.1	USA: Houston	Homo sapiens	Invasive	blood	35.5	2136182		Streptococcus agalactiae	1311	2023
GCF_021496965.1	Gambia	Homo sapiens	Colonizing	Vagina	35.5	2056769		Streptococcus agalactiae	1311	1941
GCF_021654515.1	Japan				40	2175328		Streptococcus ruminantium	1917441	1918
GCF_021654535.1	Japan				40	2115310		Streptococcus ruminantium	1917441	1880
GCF_021729385.1	China:Guangxi	Homo sapiens	Missing	Missing	41	2157789		Streptococcus suis	1307	1953
GCF_021729405.1	China:Guangxi	Homo sapiens	Missing	Missing	41	2069014		Streptococcus suis	1307	1890
GCF_022343205.1	China: Guangdong, Zhanjiang			water	44.5	5332195		Vibrio alginolyticus	663	4682
GCF_022414575.2	Malaysia: Kampung Trombol area of Kuching, Sarawak			mangrove soil	71.5	6699249		Streptomyces sp. MUM 178J	2791991	5706
GCF_022637295.1	China: Gansu	Marmota himalayana	sepsis	spleen	40.5	2438952		Pasteurella multocida	747	2273
GCF_022760195.1	missing			soil	72	9660595		Streptomyces rimosus subsp. rimosus	132474	8265
GCF_022760275.1	China:South Sea			water	71	7839538		Streptomyces sp. 891-h	2720714	6745
GCF_022846655.1	Japan:Hokkaido, Furano	not applicable		soil	72	6542274		Streptomyces seoulensis	73044	5872
GCF_022869105.1	China:Hunan	missing		rhizosphere soil	72.5	7436964		Streptomyces sp. BJ20	2930049	6473
GCF_022964955.1	China: Tianjin	fattening pig	Streptococcus suis	pig farm	41	2368195		Streptococcus suis	1307	2187
GCF_023023005.1	China: Tianjin	fattening pig	Streptococcus suis	missing	41.5	2056478		Streptococcus suis	1307	1904
GCF_023205895.1	China: Dalian			seawater	45.5	5091623		Vibrio parahaemolyticus	670	4412
GCF_023273835.1	China: Lanzhou City, Gansu province	Lilium davidii var. unicolor (Hoog) Cotton			71	9990036		Streptomyces sp. LRE541	2931983	8298
GCF_023277745.1	China:GANSU	black gobi			70	9239126		Streptomyces halobius	2879846	7809
GCF_023572865.1	USA	Avian			40.5	2277732		Pasteurella multocida	747	2073
GCF_023572885.1	USA	Avian			40.5	2280285		Pasteurella multocida	747	2035
GCF_023572985.1	USA	Avian			40.5	2280310		Pasteurella multocida	747	2036
GCF_023573025.1	USA	Avian			40.5	2432628		Pasteurella multocida	747	2244
GCF_023573045.1	USA	Avian			40.5	2271546		Pasteurella multocida	747	2049
GCF_023573085.1	USA	Avian			40.5	2447589		Pasteurella multocida	747	2280
GCF_023573105.1	USA	Avian			40.5	2255532		Pasteurella multocida	747	2027
GCF_023587305.1	missing	chicken	missing	missing	40.5	2272615		Pasteurella multocida	747	2020
GCF_023587465.1	missing	chicken	missing	missing	40.5	2262419		Pasteurella multocida	747	2004
GCF_023587645.1	missing	Poultry	missing	missing	40.5	2303777		Pasteurella multocida	747	2066
GCF_023702655.1	Brazil: Pernambuco state			soil	72	9048985		Streptomyces sp. Caat 7-52	2949637	7438
GCF_023716005.1	China:Zhejiang			soil	71.5	7749151		Streptomyces filamentosus	67294	6648
