target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsM_ncbi_40_complete$target_ID
GCF_018141485.1_protein.faa_WP_198502979.1	-	280	kpsM_final_mafft	-	260	3.2e-15	54.5	3.9	1	1	5.9e-18	4.1e-15	54.2	3.9	21	222	30	239	25	277	0.81	-	GCF_018141485.1_protein.faa_WP_198502979.1
GCF_026689495.1_protein.faa_WP_016356751.1	-	278	kpsM_final_mafft	-	260	1.2e-54	182.5	20.1	1	1	1.9e-57	1.4e-54	182.3	20.1	2	259	21	277	20	278	0.98	-	GCF_026689495.1_protein.faa_WP_016356751.1
GCF_026689495.1_protein.faa_WP_010946136.1	-	257	kpsM_final_mafft	-	260	5.5e-20	68.9	23.7	1	1	1.2e-22	8.9e-20	68.2	23.7	15	251	10	250	3	256	0.83	-	GCF_026689495.1_protein.faa_WP_010946136.1
GCF_020034615.1_protein.faa_WP_046248608.1	-	309	kpsM_final_mafft	-	260	1.4e-43	147.5	10.9	1	1	4.8e-46	1.7e-43	147.2	10.9	3	255	44	305	42	308	0.94	-	GCF_020034615.1_protein.faa_WP_046248608.1
GCF_020034615.1_protein.faa_WP_046250563.1	-	308	kpsM_final_mafft	-	260	2.6e-42	143.3	10.1	1	1	8.9e-45	3.1e-42	143.1	10.1	3	255	42	304	40	307	0.91	-	GCF_020034615.1_protein.faa_WP_046250563.1
GCF_020034615.1_protein.faa_WP_029394102.1	-	282	kpsM_final_mafft	-	260	2.5e-20	71.3	5.1	1	1	9.1e-23	3.2e-20	70.9	5.1	38	248	55	273	50	280	0.81	-	GCF_020034615.1_protein.faa_WP_029394102.1
GCF_020034615.1_protein.faa_WP_223780135.1	-	261	kpsM_final_mafft	-	260	3.4e-17	61	5.7	1	1	1.3e-19	4.6e-17	60.6	5.7	38	248	33	251	23	258	0.85	-	GCF_020034615.1_protein.faa_WP_223780135.1
GCF_020034615.1_protein.faa_WP_223779455.1	-	263	kpsM_final_mafft	-	260	5.4e-16	57.1	5.7	1	1	2e-18	7e-16	56.7	5.7	37	246	32	251	14	260	0.84	-	GCF_020034615.1_protein.faa_WP_223779455.1
GCF_020034615.1_protein.faa_WP_046248589.1	-	274	kpsM_final_mafft	-	260	6.3e-14	50.3	10.6	1	1	3.4e-16	1.2e-13	49.4	10.6	37	251	48	272	44	274	0.75	-	GCF_020034615.1_protein.faa_WP_046248589.1
GCF_008704655.1_protein.faa_WP_003981489.1	-	309	kpsM_final_mafft	-	260	5.8e-41	139.1	11.3	1	1	1.5e-43	7.2e-41	138.8	11.3	3	255	44	305	42	308	0.93	-	GCF_008704655.1_protein.faa_WP_003981489.1
GCF_008704655.1_protein.faa_WP_030183334.1	-	311	kpsM_final_mafft	-	260	1.5e-37	127.9	11.2	1	1	3.9e-40	1.8e-37	127.6	11.2	3	255	48	307	46	310	0.92	-	GCF_008704655.1_protein.faa_WP_030183334.1
GCF_008704655.1_protein.faa_WP_003981877.1	-	263	kpsM_final_mafft	-	260	4e-21	74.1	3.2	1	1	9.8e-24	4.6e-21	73.9	3.2	37	254	32	258	11	263	0.87	-	GCF_008704655.1_protein.faa_WP_003981877.1
GCF_008704655.1_protein.faa_WP_003985042.1	-	280	kpsM_final_mafft	-	260	1.1e-19	69.4	5.9	1	1	2.9e-22	1.4e-19	69	5.9	37	251	52	278	29	280	0.77	-	GCF_008704655.1_protein.faa_WP_003985042.1
GCF_008704655.1_protein.faa_WP_003981949.1	-	286	kpsM_final_mafft	-	260	1.2e-15	56.1	3.3	1	1	3.8e-18	1.8e-15	55.6	3.3	38	220	49	240	45	281	0.85	-	GCF_008704655.1_protein.faa_WP_003981949.1
GCF_014058625.1_protein.faa_WP_005754209.1	-	265	kpsM_final_mafft	-	260	8.1e-45	149.8	20.3	1	1	1.5e-47	1e-44	149.4	20.3	7	255	12	261	6	264	0.96	-	GCF_014058625.1_protein.faa_WP_005754209.1
GCF_014058625.1_protein.faa_WP_005753849.1	-	255	kpsM_final_mafft	-	260	2.8e-19	66	22.3	1	1	5.5e-22	3.7e-19	65.7	22.3	37	248	26	246	8	250	0.79	-	GCF_014058625.1_protein.faa_WP_005753849.1
GCF_025152605.1_protein.faa_WP_002922213.1	-	260	kpsM_final_mafft	-	260	1.2e-46	155.6	31.6	1	1	7.8e-50	1.3e-46	155.4	31.6	13	257	3	255	1	257	0.94	-	GCF_025152605.1_protein.faa_WP_002922213.1
GCF_022964955.1_protein.faa_WP_002937101.1	-	268	kpsM_final_mafft	-	260	2.2e-44	148.4	20.8	1	1	1.3e-47	2.6e-44	148.1	20.8	10	258	7	266	2	268	0.91	-	GCF_022964955.1_protein.faa_WP_002937101.1
GCF_031676495.1_protein.faa_WP_002871866.1	-	260	kpsM_final_mafft	-	260	8.5e-47	156	31.2	1	1	5.8e-50	9.7e-47	155.8	31.2	13	257	3	255	1	257	0.94	-	GCF_031676495.1_protein.faa_WP_002871866.1
GCF_012934555.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	7.6e-107	354.3	18.6	1	1	1.1e-109	8.4e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_012934555.1_protein.faa_WP_000124301.1
GCF_012934555.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.6e-18	64.8	19.9	1	1	2.8e-21	2.2e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_012934555.1_protein.faa_WP_000972203.1
GCF_036232045.1_protein.faa_WP_007452394.1	-	309	kpsM_final_mafft	-	260	1e-42	144.8	12.2	1	1	2.6e-45	1.2e-42	144.5	12.2	4	255	45	305	42	308	0.93	-	GCF_036232045.1_protein.faa_WP_007452394.1
GCF_036232045.1_protein.faa_WP_007448344.1	-	301	kpsM_final_mafft	-	260	3.3e-41	139.8	7.9	1	1	8.2e-44	4e-41	139.6	7.9	4	255	37	297	34	300	0.93	-	GCF_036232045.1_protein.faa_WP_007448344.1
GCF_036232045.1_protein.faa_WP_007450266.1	-	282	kpsM_final_mafft	-	260	4.3e-20	70.7	3.4	1	1	1e-22	4.9e-20	70.4	3.4	38	253	55	279	51	282	0.86	-	GCF_036232045.1_protein.faa_WP_007450266.1
GCF_036232045.1_protein.faa_WP_097911148.1	-	286	kpsM_final_mafft	-	260	3.3e-17	61.2	13	1	1	1.2e-19	5.9e-17	60.4	12.9	37	252	59	285	50	286	0.8	-	GCF_036232045.1_protein.faa_WP_097911148.1
GCF_036232045.1_protein.faa_WP_007446503.1	-	263	kpsM_final_mafft	-	260	1.3e-16	59.2	6.3	1	1	3.7e-19	1.8e-16	58.8	6.3	38	245	33	250	23	260	0.84	-	GCF_036232045.1_protein.faa_WP_007446503.1
GCF_036232045.1_protein.faa_WP_007458367.1	-	287	kpsM_final_mafft	-	260	2.4e-16	58.4	2.7	1	1	8.4e-19	4.1e-16	57.6	2.7	38	221	48	240	44	277	0.84	-	GCF_036232045.1_protein.faa_WP_007458367.1
GCF_003004275.1_protein.faa_WP_010946509.1	-	283	kpsM_final_mafft	-	260	1.8e-51	172.2	22.4	1	1	2.6e-54	2.1e-51	172	22.4	4	258	27	281	24	283	0.98	-	GCF_003004275.1_protein.faa_WP_010946509.1
GCF_029774075.1_protein.faa_WP_279455933.1	-	265	kpsM_final_mafft	-	260	6.2e-44	146.9	18.5	1	1	7.6e-47	7.9e-44	146.6	18.5	6	255	11	261	6	264	0.96	-	GCF_029774075.1_protein.faa_WP_279455933.1
GCF_029774075.1_protein.faa_WP_275218433.1	-	253	kpsM_final_mafft	-	260	6.2e-19	65	19.1	1	1	8.8e-22	9.1e-19	64.4	19.1	37	251	24	247	19	249	0.79	-	GCF_029774075.1_protein.faa_WP_275218433.1
GCF_007981005.1_protein.faa_WP_006248287.1	-	265	kpsM_final_mafft	-	260	4.9e-46	154.1	19.6	1	1	4.7e-49	6.1e-46	153.8	19.6	8	255	13	261	6	264	0.96	-	GCF_007981005.1_protein.faa_WP_006248287.1
GCF_007981005.1_protein.faa_WP_006249091.1	-	253	kpsM_final_mafft	-	260	2e-18	63.6	18.1	1	1	2.1e-21	2.7e-18	63.2	18.1	37	249	24	245	19	249	0.85	-	GCF_007981005.1_protein.faa_WP_006249091.1
GCF_020783455.1_protein.faa_WP_047179843.1	-	309	kpsM_final_mafft	-	260	5.6e-43	145.6	12.3	1	1	1.6e-45	6.6e-43	145.3	12.3	4	255	45	305	42	308	0.93	-	GCF_020783455.1_protein.faa_WP_047179843.1
GCF_020783455.1_protein.faa_WP_178798492.1	-	301	kpsM_final_mafft	-	260	1.8e-41	140.6	7.7	1	1	5.4e-44	2.2e-41	140.3	7.7	4	255	37	297	34	300	0.93	-	GCF_020783455.1_protein.faa_WP_178798492.1
GCF_020783455.1_protein.faa_WP_047177840.1	-	262	kpsM_final_mafft	-	260	2.1e-21	74.9	11.1	1	1	6.9e-24	2.8e-21	74.4	11.1	43	231	31	228	26	260	0.79	-	GCF_020783455.1_protein.faa_WP_047177840.1
GCF_020783455.1_protein.faa_WP_164218489.1	-	285	kpsM_final_mafft	-	260	2.6e-18	64.7	9.5	1	1	1.1e-20	4.6e-18	63.9	9.5	37	252	58	284	48	285	0.82	-	GCF_020783455.1_protein.faa_WP_164218489.1
GCF_020783455.1_protein.faa_WP_087765974.1	-	263	kpsM_final_mafft	-	260	4.5e-16	57.4	6.5	1	1	1.5e-18	6.2e-16	56.9	6.5	38	245	33	250	23	258	0.85	-	GCF_020783455.1_protein.faa_WP_087765974.1
GCF_020783455.1_protein.faa_WP_047178474.1	-	287	kpsM_final_mafft	-	260	4.5e-16	57.4	2.6	1	1	1.8e-18	7.2e-16	56.7	2.6	38	221	48	240	44	277	0.84	-	GCF_020783455.1_protein.faa_WP_047178474.1
GCF_020783455.1_protein.faa_WP_047177838.1	-	264	kpsM_final_mafft	-	260	1.2e-14	52.7	1.1	1	1	4.6e-17	1.9e-14	52.1	1.1	39	246	31	250	27	261	0.78	-	GCF_020783455.1_protein.faa_WP_047177838.1
GCF_003955715.1_protein.faa_WP_126275461.1	-	311	kpsM_final_mafft	-	260	1.2e-43	148.1	10.1	1	1	3.2e-46	1.4e-43	147.8	10.1	3	255	44	307	42	310	0.93	-	GCF_003955715.1_protein.faa_WP_126275461.1
GCF_003955715.1_protein.faa_WP_126272409.1	-	306	kpsM_final_mafft	-	260	1.1e-39	135.1	11.9	1	1	2.9e-42	1.3e-39	134.8	11.9	3	254	40	301	38	305	0.92	-	GCF_003955715.1_protein.faa_WP_126272409.1
GCF_003955715.1_protein.faa_WP_126269977.1	-	281	kpsM_final_mafft	-	260	6.9e-16	57.1	7.8	1	1	2e-18	9.3e-16	56.7	7.8	39	240	59	267	55	277	0.8	-	GCF_003955715.1_protein.faa_WP_126269977.1
GCF_003955715.1_protein.faa_WP_126274040.1	-	285	kpsM_final_mafft	-	260	1.1e-14	53.1	3.9	1	1	3.9e-17	1.8e-14	52.5	3.9	38	250	46	273	42	283	0.78	-	GCF_003955715.1_protein.faa_WP_126274040.1
GCF_003955715.1_protein.faa_WP_126270130.1	-	264	kpsM_final_mafft	-	260	3.7e-14	51.4	3.1	1	1	9.8e-17	4.5e-14	51.1	3.1	41	251	36	256	22	264	0.88	-	GCF_003955715.1_protein.faa_WP_126270130.1
GCF_003955715.1_protein.faa_WP_097263251.1	-	276	kpsM_final_mafft	-	260	7e-14	50.5	12.7	1	1	2.8e-16	1.3e-13	49.6	12.7	37	251	50	274	46	276	0.78	-	GCF_003955715.1_protein.faa_WP_097263251.1
GCF_001647875.1_protein.faa_WP_010945600.1	-	253	kpsM_final_mafft	-	260	7.5e-19	64.3	22.3	1	1	7e-22	1.1e-18	63.8	22.3	37	250	24	246	16	249	0.78	-	GCF_001647875.1_protein.faa_WP_010945600.1
GCF_007974065.1_protein.faa_WP_006251414.1	-	265	kpsM_final_mafft	-	260	1.2e-46	156	17.4	1	1	1.2e-49	1.5e-46	155.7	17.4	8	255	13	261	6	264	0.97	-	GCF_007974065.1_protein.faa_WP_006251414.1
GCF_007974065.1_protein.faa_WP_006249091.1	-	253	kpsM_final_mafft	-	260	1.9e-18	63.6	18.1	1	1	2.1e-21	2.5e-18	63.2	18.1	37	249	24	245	19	249	0.85	-	GCF_007974065.1_protein.faa_WP_006249091.1
GCF_002796585.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	7.6e-107	354.3	18.6	1	1	1.1e-109	8.4e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_002796585.1_protein.faa_WP_000124301.1
GCF_002796585.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.6e-18	64.8	19.9	1	1	2.8e-21	2.2e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_002796585.1_protein.faa_WP_000972203.1
GCF_023572925.1_protein.faa_WP_005754209.1	-	265	kpsM_final_mafft	-	260	8.3e-45	149.8	20.3	1	1	1.5e-47	1.1e-44	149.4	20.3	7	255	12	261	6	264	0.96	-	GCF_023572925.1_protein.faa_WP_005754209.1
GCF_023572925.1_protein.faa_WP_005753849.1	-	255	kpsM_final_mafft	-	260	2.9e-19	66	22.3	1	1	5.5e-22	3.8e-19	65.7	22.3	37	248	26	246	8	250	0.79	-	GCF_023572925.1_protein.faa_WP_005753849.1
GCF_024612035.1_protein.faa_WP_257568477.1	-	309	kpsM_final_mafft	-	260	3.1e-43	146.7	10.7	1	1	7e-46	3.6e-43	146.4	10.7	3	255	44	305	42	308	0.93	-	GCF_024612035.1_protein.faa_WP_257568477.1
GCF_024612035.1_protein.faa_WP_257564848.1	-	312	kpsM_final_mafft	-	260	4.9e-40	136.2	9.5	1	1	1.1e-42	5.8e-40	135.9	9.5	4	255	48	308	45	311	0.93	-	GCF_024612035.1_protein.faa_WP_257564848.1
GCF_024612035.1_protein.faa_WP_257567888.1	-	270	kpsM_final_mafft	-	260	1.7e-16	59	5.9	1	1	4.7e-19	2.4e-16	58.5	5.9	38	246	42	258	32	266	0.84	-	GCF_024612035.1_protein.faa_WP_257567888.1
GCF_024612035.1_protein.faa_WP_257566150.1	-	272	kpsM_final_mafft	-	260	4.7e-16	57.6	6.6	1	1	1.2e-18	6.4e-16	57.1	6.6	38	246	42	260	31	268	0.85	-	GCF_024612035.1_protein.faa_WP_257566150.1
GCF_024612035.1_protein.faa_WP_257563824.1	-	272	kpsM_final_mafft	-	260	1.5e-14	52.7	8.4	1	1	6.1e-17	3.2e-14	51.6	8.4	37	251	46	268	42	272	0.8	-	GCF_024612035.1_protein.faa_WP_257563824.1
GCF_024612035.1_protein.faa_WP_257566799.1	-	281	kpsM_final_mafft	-	260	2.4e-14	52	2	1	1	7.8e-17	4e-14	51.2	2	38	249	46	268	42	280	0.78	-	GCF_024612035.1_protein.faa_WP_257566799.1
GCF_024612035.1_protein.faa_WP_257565740.1	-	282	kpsM_final_mafft	-	260	9.8e-14	50	14.9	1	1	2.9e-16	1.5e-13	49.4	14.9	41	251	64	278	60	282	0.84	-	GCF_024612035.1_protein.faa_WP_257565740.1
GCF_017357085.1_protein.faa_WP_002894120.1	-	260	kpsM_final_mafft	-	260	2e-46	154.7	31.1	1	1	1.4e-49	2.3e-46	154.5	31.1	13	257	3	255	1	257	0.94	-	GCF_017357085.1_protein.faa_WP_002894120.1
GCF_003999315.1_protein.faa_WP_009884576.1	-	285	kpsM_final_mafft	-	260	5.6e-45	151.2	14.1	1	1	1.2e-47	6.3e-45	151	14.1	4	256	24	281	21	284	0.92	-	GCF_003999315.1_protein.faa_WP_009884576.1
GCF_003999315.1_protein.faa_WP_127361872.1	-	293	kpsM_final_mafft	-	260	8.9e-38	127.6	11.2	1	1	2e-40	1.1e-37	127.3	11.2	4	255	33	289	30	292	0.92	-	GCF_003999315.1_protein.faa_WP_127361872.1
GCF_013364175.1_protein.faa_WP_176119016.1	-	311	kpsM_final_mafft	-	260	5.9e-43	145.4	11	1	1	1.8e-45	7.2e-43	145.1	11	3	255	44	307	42	310	0.93	-	GCF_013364175.1_protein.faa_WP_176119016.1
GCF_013364175.1_protein.faa_WP_176119552.1	-	294	kpsM_final_mafft	-	260	6.1e-43	145.3	11.6	1	1	1.9e-45	7.3e-43	145.1	11.6	4	255	28	290	25	293	0.93	-	GCF_013364175.1_protein.faa_WP_176119552.1
GCF_013364175.1_protein.faa_WP_004927792.1	-	262	kpsM_final_mafft	-	260	4.5e-17	60.5	2.2	1	1	1.5e-19	5.9e-17	60.1	2.2	38	246	33	250	24	259	0.84	-	GCF_013364175.1_protein.faa_WP_004927792.1
GCF_013364175.1_protein.faa_WP_176116053.1	-	273	kpsM_final_mafft	-	260	1.4e-16	58.9	7.1	1	1	4.7e-19	1.9e-16	58.5	7.1	37	251	47	271	44	272	0.84	-	GCF_013364175.1_protein.faa_WP_176116053.1
GCF_003402915.1_protein.faa_WP_005754209.1	-	265	kpsM_final_mafft	-	260	8.9e-45	149.8	20.3	1	1	1.5e-47	1.1e-44	149.4	20.3	7	255	12	261	6	264	0.96	-	GCF_003402915.1_protein.faa_WP_005754209.1
GCF_003402915.1_protein.faa_WP_005753849.1	-	255	kpsM_final_mafft	-	260	3.1e-19	66	22.3	1	1	5.5e-22	4.1e-19	65.7	22.3	37	248	26	246	8	250	0.79	-	GCF_003402915.1_protein.faa_WP_005753849.1
GCF_002591295.1_protein.faa_WP_046333306.1	-	265	kpsM_final_mafft	-	260	7.1e-44	146.8	20.5	1	1	1.3e-46	8.9e-44	146.4	20.5	6	255	11	261	6	264	0.96	-	GCF_002591295.1_protein.faa_WP_046333306.1
GCF_002591295.1_protein.faa_WP_046333109.1	-	255	kpsM_final_mafft	-	260	3.5e-19	65.8	22.7	1	1	6.4e-22	4.6e-19	65.4	22.7	37	248	26	246	8	250	0.78	-	GCF_002591295.1_protein.faa_WP_046333109.1
GCF_031760065.1_protein.faa_WP_311122334.1	-	309	kpsM_final_mafft	-	260	1.1e-42	144.3	12.2	1	1	4.1e-45	1.3e-42	144.1	12.2	4	255	45	305	42	308	0.93	-	GCF_031760065.1_protein.faa_WP_311122334.1
GCF_031760065.1_protein.faa_WP_311119801.1	-	307	kpsM_final_mafft	-	260	1.8e-41	140.4	6.5	1	1	6.7e-44	2.2e-41	140.1	6.5	4	255	43	303	40	306	0.92	-	GCF_031760065.1_protein.faa_WP_311119801.1
GCF_031760065.1_protein.faa_WP_311119297.1	-	288	kpsM_final_mafft	-	260	2.5e-17	61.3	7.5	1	1	1.3e-19	4.1e-17	60.6	7.5	37	251	61	286	40	288	0.79	-	GCF_031760065.1_protein.faa_WP_311119297.1
GCF_031760065.1_protein.faa_WP_311120769.1	-	263	kpsM_final_mafft	-	260	2.1e-15	55	5.3	1	1	9e-18	2.9e-15	54.5	5.3	38	242	33	249	23	257	0.85	-	GCF_031760065.1_protein.faa_WP_311120769.1
GCF_002209005.1_protein.faa_WP_002883228.1	-	260	kpsM_final_mafft	-	260	2.5e-46	154.4	33.3	1	1	1.7e-49	2.9e-46	154.2	33.3	13	257	3	255	1	257	0.93	-	GCF_002209005.1_protein.faa_WP_002883228.1
GCF_904863105.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	7.8e-107	354.3	18.6	1	1	1.1e-109	8.6e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_904863105.1_protein.faa_WP_000124301.1
GCF_904863105.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.7e-18	64.8	19.9	1	1	2.8e-21	2.3e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_904863105.1_protein.faa_WP_000972203.1
GCF_036347215.1_protein.faa_WP_298552825.1	-	309	kpsM_final_mafft	-	260	8.1e-43	145.2	9	1	1	2.5e-45	9.8e-43	144.9	9	3	255	44	305	42	308	0.93	-	GCF_036347215.1_protein.faa_WP_298552825.1
GCF_036347215.1_protein.faa_WP_329328536.1	-	303	kpsM_final_mafft	-	260	7e-40	135.5	10.4	1	1	2.1e-42	8.4e-40	135.3	10.4	3	255	38	299	36	302	0.92	-	GCF_036347215.1_protein.faa_WP_329328536.1
GCF_036347215.1_protein.faa_WP_329330639.1	-	286	kpsM_final_mafft	-	260	1.6e-16	59	6.4	1	1	5.3e-19	2.1e-16	58.6	6.4	39	243	64	275	60	283	0.8	-	GCF_036347215.1_protein.faa_WP_329330639.1
GCF_036347215.1_protein.faa_WP_298566327.1	-	285	kpsM_final_mafft	-	260	1.4e-14	52.6	4.7	1	1	5.6e-17	2.2e-14	52	4.7	38	251	46	274	42	284	0.76	-	GCF_036347215.1_protein.faa_WP_298566327.1
GCF_036347215.1_protein.faa_WP_298561761.1	-	267	kpsM_final_mafft	-	260	2.6e-14	51.7	8.4	1	1	8.8e-17	3.5e-14	51.3	8.4	40	220	35	220	12	259	0.79	-	GCF_036347215.1_protein.faa_WP_298561761.1
GCF_007978365.1_protein.faa_WP_006251414.1	-	265	kpsM_final_mafft	-	260	1.2e-46	156	17.4	1	1	1.2e-49	1.5e-46	155.7	17.4	8	255	13	261	6	264	0.97	-	GCF_007978365.1_protein.faa_WP_006251414.1
GCF_007978365.1_protein.faa_WP_006249091.1	-	253	kpsM_final_mafft	-	260	1.9e-18	63.6	18.1	1	1	2.1e-21	2.6e-18	63.2	18.1	37	249	24	245	19	249	0.85	-	GCF_007978365.1_protein.faa_WP_006249091.1
GCF_021383925.1_protein.faa_WP_102930362.1	-	309	kpsM_final_mafft	-	260	2.7e-43	146.6	8.1	1	1	7.9e-46	3.3e-43	146.3	8.1	4	255	44	305	41	308	0.94	-	GCF_021383925.1_protein.faa_WP_102930362.1
GCF_021383925.1_protein.faa_WP_125627832.1	-	309	kpsM_final_mafft	-	260	3.7e-43	146.1	10.8	1	1	1.1e-45	4.5e-43	145.8	10.8	3	255	44	305	42	308	0.94	-	GCF_021383925.1_protein.faa_WP_125627832.1
GCF_021383925.1_protein.faa_WP_233646401.1	-	261	kpsM_final_mafft	-	260	9.1e-17	59.6	5.4	1	1	3e-19	1.3e-16	59.2	5.4	38	248	33	251	23	257	0.84	-	GCF_021383925.1_protein.faa_WP_233646401.1
GCF_021383925.1_protein.faa_WP_233646116.1	-	262	kpsM_final_mafft	-	260	2.2e-16	58.4	4.7	1	1	7e-19	2.9e-16	58	4.7	38	248	33	252	22	260	0.84	-	GCF_021383925.1_protein.faa_WP_233646116.1
GCF_021383925.1_protein.faa_WP_165285056.1	-	277	kpsM_final_mafft	-	260	2.7e-14	51.5	11.9	1	1	1.3e-16	5.3e-14	50.5	11.9	37	251	51	275	46	277	0.76	-	GCF_021383925.1_protein.faa_WP_165285056.1
GCF_021383925.1_protein.faa_WP_102927807.1	-	285	kpsM_final_mafft	-	260	3e-14	51.3	2.2	1	1	1.3e-16	5.2e-14	50.6	2.2	37	247	45	278	41	284	0.73	-	GCF_021383925.1_protein.faa_WP_102927807.1
GCF_021383925.1_protein.faa_WP_233645659.1	-	253	kpsM_final_mafft	-	260	7.7e-14	50	4	1	1	1.1e-15	4.7e-13	47.4	4	32	250	27	251	8	253	0.83	-	GCF_021383925.1_protein.faa_WP_233645659.1
GCF_024334045.1_protein.faa_WP_002934752.1	-	260	kpsM_final_mafft	-	260	4.5e-46	153.6	33.3	1	1	3e-49	5.1e-46	153.4	33.3	13	257	3	255	1	257	0.92	-	GCF_024334045.1_protein.faa_WP_002934752.1
GCF_001889265.1_protein.faa_WP_056278189.1	-	273	kpsM_final_mafft	-	260	3.5e-51	171.4	16	1	1	9.8e-54	4.2e-51	171.1	16	15	259	19	271	12	272	0.95	-	GCF_001889265.1_protein.faa_WP_056278189.1
GCF_001889265.1_protein.faa_WP_053099057.1	-	277	kpsM_final_mafft	-	260	4.4e-46	154.7	17.4	1	1	1.3e-48	5.6e-46	154.3	17.4	8	259	13	276	6	277	0.89	-	GCF_001889265.1_protein.faa_WP_053099057.1
GCF_001889265.1_protein.faa_WP_056279731.1	-	283	kpsM_final_mafft	-	260	4.6e-40	134.9	14.7	1	1	1.4e-42	5.9e-40	134.6	14.7	29	251	49	274	23	281	0.92	-	GCF_001889265.1_protein.faa_WP_056279731.1
GCF_001889265.1_protein.faa_WP_053098370.1	-	255	kpsM_final_mafft	-	260	2.5e-15	53.9	17.5	1	1	7.1e-18	3e-15	53.6	17.5	39	252	32	253	27	255	0.86	-	GCF_001889265.1_protein.faa_WP_053098370.1
GCF_020736025.1_protein.faa_WP_021034846.1	-	265	kpsM_final_mafft	-	260	1.6e-44	148.5	22.7	1	1	1.1e-47	1.8e-44	148.3	22.7	6	256	11	262	6	265	0.96	-	GCF_020736025.1_protein.faa_WP_021034846.1
GCF_004924295.1_protein.faa_WP_002788478.1	-	260	kpsM_final_mafft	-	260	1.5e-50	168.2	29.3	1	1	1.1e-53	1.7e-50	168	29.3	13	257	3	255	1	257	0.95	-	GCF_004924295.1_protein.faa_WP_002788478.1
GCF_036002945.1_protein.faa_WP_327271588.1	-	309	kpsM_final_mafft	-	260	1.5e-43	147.6	14.4	1	1	3.9e-46	1.8e-43	147.4	14.4	4	255	45	305	42	308	0.93	-	GCF_036002945.1_protein.faa_WP_327271588.1
GCF_036002945.1_protein.faa_WP_327274894.1	-	313	kpsM_final_mafft	-	260	1.2e-39	134.8	9.4	1	1	3.1e-42	1.4e-39	134.6	9.4	4	255	49	309	46	312	0.92	-	GCF_036002945.1_protein.faa_WP_327274894.1
GCF_036002945.1_protein.faa_WP_327275577.1	-	282	kpsM_final_mafft	-	260	1.3e-19	69.2	11.9	1	1	4.9e-22	2.3e-19	68.4	11.9	37	252	55	281	44	282	0.84	-	GCF_036002945.1_protein.faa_WP_327275577.1
GCF_036002945.1_protein.faa_WP_327277330.1	-	263	kpsM_final_mafft	-	260	2.4e-18	65	4.7	1	1	6.7e-21	3.1e-18	64.7	4.7	28	243	23	250	9	261	0.8	-	GCF_036002945.1_protein.faa_WP_327277330.1
GCF_036002945.1_protein.faa_WP_327273642.1	-	263	kpsM_final_mafft	-	260	6.4e-18	63.6	5.8	1	1	1.9e-20	8.6e-18	63.2	5.8	38	245	33	250	17	260	0.86	-	GCF_036002945.1_protein.faa_WP_327273642.1
GCF_036002945.1_protein.faa_WP_189280934.1	-	287	kpsM_final_mafft	-	260	2.2e-17	61.8	10.7	1	1	6.5e-20	3e-17	61.4	10.7	39	243	65	276	60	284	0.88	-	GCF_036002945.1_protein.faa_WP_189280934.1
GCF_036002945.1_protein.faa_WP_327271724.1	-	285	kpsM_final_mafft	-	260	5e-17	60.7	10.1	1	1	2e-19	9.3e-17	59.8	10.1	37	252	58	284	35	285	0.76	-	GCF_036002945.1_protein.faa_WP_327271724.1
GCF_036002945.1_protein.faa_WP_327277194.1	-	264	kpsM_final_mafft	-	260	4.9e-15	54.2	6	1	1	1.3e-17	6e-15	53.9	6	41	251	36	256	21	264	0.9	-	GCF_036002945.1_protein.faa_WP_327277194.1
GCF_036347015.1_protein.faa_WP_266687292.1	-	309	kpsM_final_mafft	-	260	5.2e-43	145.9	15	1	1	1.2e-45	6.2e-43	145.7	15	4	255	45	305	42	308	0.94	-	GCF_036347015.1_protein.faa_WP_266687292.1
GCF_036347015.1_protein.faa_WP_266690574.1	-	313	kpsM_final_mafft	-	260	3e-39	133.6	10.1	1	1	7.1e-42	3.6e-39	133.3	10.1	3	255	48	309	46	312	0.92	-	GCF_036347015.1_protein.faa_WP_266690574.1
GCF_036347015.1_protein.faa_WP_124718016.1	-	284	kpsM_final_mafft	-	260	1.5e-18	65.7	12.3	1	1	4.7e-21	2.4e-18	65.1	12.3	37	252	57	283	31	284	0.81	-	GCF_036347015.1_protein.faa_WP_124718016.1
