target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsD_ncbi_40_complete$target_ID
GCF_024917535.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5.3e-34	115.7	2.9	1	1	1.1e-36	1.4e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_024917535.1_protein.faa_WP_000978098.1
GCF_003111665.1_protein.faa_WP_108976278.1	-	393	kpsD_final_mafft	-	594	1.8e-36	123.8	0.2	1	1	2e-39	2.9e-36	123	0.2	66	331	32	317	4	366	0.7	-	GCF_003111665.1_protein.faa_WP_108976278.1
GCF_003111665.1_protein.faa_WP_199917164.1	-	209	kpsD_final_mafft	-	594	6.5e-22	75.6	0.2	1	1	5.7e-25	8.3e-22	75.3	0.2	129	286	43	206	25	207	0.87	-	GCF_003111665.1_protein.faa_WP_199917164.1
GCF_002224325.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.4e-179	592.9	15.7	1	1	3.8e-182	6.1e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_002224325.1_protein.faa_WP_002851485.1
GCF_002850575.1_protein.faa_WP_101737293.1	-	378	kpsD_final_mafft	-	594	2.7e-37	126.4	0.3	1	1	2.8e-40	4e-37	125.9	0.3	124	364	74	344	62	355	0.85	-	GCF_002850575.1_protein.faa_WP_101737293.1
GCF_002850575.1_protein.faa_WP_006176318.1	-	379	kpsD_final_mafft	-	594	5.2e-34	115.6	2.7	1	1	6.2e-37	8.9e-34	114.8	2.7	120	363	70	346	1	356	0.81	-	GCF_002850575.1_protein.faa_WP_006176318.1
GCF_026409345.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1e-37	126.8	0.4	1	1	1.6e-40	1.7e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_026409345.1_protein.faa_WP_010906973.1
GCF_028621895.1_protein.faa_WP_273777799.1	-	360	kpsD_final_mafft	-	594	3.7e-28	95.3	1.8	1	1	2.3e-31	5.1e-28	94.9	1.8	129	365	76	333	10	342	0.85	-	GCF_028621895.1_protein.faa_WP_273777799.1
GCF_018968665.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8.2e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_018968665.1_protein.faa_WP_005723127.1
GCF_009763845.1_protein.faa_WP_053349726.1	-	897	kpsD_final_mafft	-	594	6.1e-149	495.2	13	1	2	2.6e-102	2.4e-99	331.5	8.3	57	442	12	490	1	559	0.75	-	GCF_009763845.1_protein.faa_WP_053349726.1
GCF_009763845.1_protein.faa_WP_053350557.1	-	700	kpsD_final_mafft	-	594	1.7e-94	315.4	10.4	1	6	2.1e-34	2e-31	107.2	3.4	127	286	23	182	18	197	0.92	-	GCF_009763845.1_protein.faa_WP_053350557.1
GCF_009763845.1_protein.faa_WP_053350000.1	-	373	kpsD_final_mafft	-	594	2.4e-40	136.6	0.5	1	1	3.9e-43	3.6e-40	136	0.5	126	365	76	341	59	351	0.87	-	GCF_009763845.1_protein.faa_WP_053350000.1
GCF_009763845.1_protein.faa_WP_005375265.1	-	177	kpsD_final_mafft	-	594	8.4e-19	65.5	0.5	1	1	3.4e-21	3.1e-18	63.6	0.5	129	253	25	150	13	175	0.88	-	GCF_009763845.1_protein.faa_WP_005375265.1
GCF_026248865.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	3.4e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_026248865.1_protein.faa_WP_001298258.1
GCF_026248865.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5.1e-34	115.7	2.9	1	1	1.1e-36	1.3e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_026248865.1_protein.faa_WP_000978098.1
GCF_033096605.1_protein.faa_WP_070306830.1	-	552	kpsD_final_mafft	-	594	1.4e-179	594.9	15.1	1	1	9.8e-183	1.6e-179	594.7	15.1	49	579	1	552	1	552	0.89	-	GCF_033096605.1_protein.faa_WP_070306830.1
GCF_023360975.1_protein.faa_WP_000872596.1	-	366	kpsD_final_mafft	-	594	1.5e-26	90.8	8.1	1	1	1.1e-28	4.3e-25	86	7.8	129	363	76	338	60	340	0.85	-	GCF_023360975.1_protein.faa_WP_000872596.1
GCF_002139895.1_protein.faa_WP_086334143.1	-	558	kpsD_final_mafft	-	594	1.7e-160	532	18.9	1	1	1.1e-163	1.9e-160	531.8	18.9	49	578	1	557	1	558	0.86	-	GCF_002139895.1_protein.faa_WP_086334143.1
GCF_033130025.1_protein.faa_WP_071170289.1	-	552	kpsD_final_mafft	-	594	2.1e-178	591.1	14.3	1	1	1.4e-181	2.4e-178	590.9	14.3	49	579	1	552	1	552	0.89	-	GCF_033130025.1_protein.faa_WP_071170289.1
GCF_021733125.1_protein.faa_WP_015461606.1	-	183	kpsD_final_mafft	-	594	9.2e-24	81.4	0	1	1	5.1e-27	1.8e-23	80.5	0	129	285	32	179	20	181	0.91	-	GCF_021733125.1_protein.faa_WP_015461606.1
GCF_000835345.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	6.2e-179	592.9	15.7	1	1	3.8e-182	7e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_000835345.1_protein.faa_WP_002851485.1
GCF_013372245.1_protein.faa_WP_004277128.1	-	552	kpsD_final_mafft	-	594	7.9e-173	572.6	15	1	1	5.5e-176	8.9e-173	572.4	15	49	579	1	552	1	552	0.89	-	GCF_013372245.1_protein.faa_WP_004277128.1
GCF_002209725.2_protein.faa_WP_031781435.1	-	583	kpsD_final_mafft	-	594	1.1e-184	613.2	2.6	1	1	1.1e-187	1.3e-184	613.1	2.6	58	578	14	583	1	583	0.86	-	GCF_002209725.2_protein.faa_WP_031781435.1
GCF_002209725.2_protein.faa_WP_049877691.1	-	688	kpsD_final_mafft	-	594	1.5e-94	315.6	11	1	5	4.9e-35	5.7e-32	109	3.3	129	287	13	171	8	189	0.92	-	GCF_002209725.2_protein.faa_WP_049877691.1
GCF_002209725.2_protein.faa_WP_021450526.1	-	372	kpsD_final_mafft	-	594	4.7e-42	142.2	0.5	1	1	5.3e-45	6.1e-42	141.9	0.5	125	364	74	339	10	350	0.87	-	GCF_002209725.2_protein.faa_WP_021450526.1
GCF_002209725.2_protein.faa_WP_021450107.1	-	177	kpsD_final_mafft	-	594	1e-19	68.5	0.5	1	1	2.6e-22	3e-19	67	0.5	115	253	15	150	11	173	0.87	-	GCF_002209725.2_protein.faa_WP_021450107.1
GCF_900086555.1_protein.faa_WP_081463195.1	-	377	kpsD_final_mafft	-	594	2.2e-36	122.3	2.1	1	1	8e-39	5.3e-36	121.1	2.2	130	364	85	349	33	359	0.87	-	GCF_900086555.1_protein.faa_WP_081463195.1
GCF_017351955.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.6e-179	592.9	15.7	1	1	3.8e-182	6.3e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_017351955.1_protein.faa_WP_002851485.1
GCF_023517235.1_protein.faa_WP_002133355.1	-	366	kpsD_final_mafft	-	594	2.2e-26	90.2	8.8	1	1	1.5e-28	5.7e-25	85.5	8.7	129	363	76	338	2	339	0.84	-	GCF_023517235.1_protein.faa_WP_002133355.1
GCF_011801455.1_protein.faa_WP_167426999.1	-	582	kpsD_final_mafft	-	594	5.4e-178	591.1	1.7	1	1	5.4e-181	6e-178	591	1.7	51	578	7	582	1	582	0.86	-	GCF_011801455.1_protein.faa_WP_167426999.1
GCF_011801455.1_protein.faa_WP_005394266.1	-	700	kpsD_final_mafft	-	594	9.3e-96	319.5	10.7	1	5	1.1e-35	1.2e-32	111.1	2.9	129	286	25	182	19	197	0.92	-	GCF_011801455.1_protein.faa_WP_005394266.1
GCF_011801455.1_protein.faa_WP_006740798.1	-	372	kpsD_final_mafft	-	594	1.3e-41	140.7	0.2	1	1	1.6e-44	1.7e-41	140.3	0.2	125	365	74	340	3	350	0.86	-	GCF_011801455.1_protein.faa_WP_006740798.1
GCF_011801455.1_protein.faa_WP_225311846.1	-	170	kpsD_final_mafft	-	594	7.3e-19	65.6	0.4	1	1	1.7e-21	1.9e-18	64.2	0.4	129	257	18	149	6	164	0.89	-	GCF_011801455.1_protein.faa_WP_225311846.1
GCF_026651085.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	3.4e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_026651085.1_protein.faa_WP_001331697.1
GCF_026651085.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	1e-36	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_026651085.1_protein.faa_WP_000978094.1
GCF_001865495.1_protein.faa_WP_071304888.1	-	543	kpsD_final_mafft	-	594	1.9e-176	584.7	14.1	1	1	1.2e-179	2.1e-176	584.5	14.1	49	579	1	543	1	543	0.9	-	GCF_001865495.1_protein.faa_WP_071304888.1
GCF_026315125.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1e-37	126.8	0.4	1	1	1.6e-40	1.7e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_026315125.1_protein.faa_WP_010906973.1
GCF_031463095.1_protein.faa_WP_241951700.1	-	387	kpsD_final_mafft	-	594	3.1e-37	125.2	1.2	1	1	6.5e-40	6.9e-37	124.1	1.1	126	335	78	303	65	323	0.89	-	GCF_031463095.1_protein.faa_WP_241951700.1
GCF_031463095.1_protein.faa_WP_241952209.1	-	393	kpsD_final_mafft	-	594	2.9e-15	52.7	3.7	1	1	7.5e-17	8e-14	47.9	3.7	111	283	57	249	1	303	0.74	-	GCF_031463095.1_protein.faa_WP_241952209.1
GCF_949361555.1_protein.faa_WP_318764413.1	-	543	kpsD_final_mafft	-	594	1e-176	585.5	13.8	1	1	6.7e-180	1.2e-176	585.4	13.8	49	578	1	542	1	543	0.9	-	GCF_949361555.1_protein.faa_WP_318764413.1
GCF_030059805.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1e-37	126.8	0.4	1	1	1.6e-40	1.7e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_030059805.1_protein.faa_WP_010906973.1
GCF_033097065.1_protein.faa_WP_317647628.1	-	552	kpsD_final_mafft	-	594	1.3e-178	591.9	14.6	1	1	8.1e-182	1.4e-178	591.7	14.6	49	579	1	552	1	552	0.9	-	GCF_033097065.1_protein.faa_WP_317647628.1
GCF_033097225.1_protein.faa_WP_317648288.1	-	552	kpsD_final_mafft	-	594	3e-178	590.5	15.2	1	1	2.1e-181	3.3e-178	590.3	15.2	49	579	1	552	1	552	0.9	-	GCF_033097225.1_protein.faa_WP_317648288.1
GCF_003074755.2_protein.faa_WP_012848788.1	-	183	kpsD_final_mafft	-	594	8.6e-24	81.4	0	1	1	5.1e-27	1.7e-23	80.5	0	129	285	32	179	20	181	0.91	-	GCF_003074755.2_protein.faa_WP_012848788.1
GCF_029774055.1_protein.faa_WP_279443287.1	-	385	kpsD_final_mafft	-	594	3.4e-37	125.1	2.1	1	1	2.4e-40	5e-37	124.5	2.1	122	337	72	304	9	325	0.87	-	GCF_029774055.1_protein.faa_WP_279443287.1
GCF_019967875.1_protein.faa_WP_223375605.1	-	543	kpsD_final_mafft	-	594	4.7e-177	586.6	14.3	1	1	3.1e-180	5.3e-177	586.5	14.3	49	579	1	543	1	543	0.89	-	GCF_019967875.1_protein.faa_WP_223375605.1
GCF_004684345.1_protein.faa_WP_135321378.1	-	379	kpsD_final_mafft	-	594	4.9e-35	119	2.7	1	1	1.1e-37	1.7e-34	117.3	2.7	129	363	82	346	66	355	0.85	-	GCF_004684345.1_protein.faa_WP_135321378.1
GCF_004684345.1_protein.faa_WP_135324619.1	-	185	kpsD_final_mafft	-	594	9.7e-28	94.9	0.2	1	2	3.9e-17	5.8e-14	49.4	0	128	206	32	113	21	115	0.92	-	GCF_004684345.1_protein.faa_WP_135324619.1
GCF_000816305.1_protein.faa_WP_043019402.1	-	547	kpsD_final_mafft	-	594	5.8e-173	573.2	19.3	1	1	3.6e-176	6.5e-173	573	19.3	49	579	1	547	1	547	0.89	-	GCF_000816305.1_protein.faa_WP_043019402.1
GCF_020271605.1_protein.faa_WP_135013402.1	-	366	kpsD_final_mafft	-	594	1.5e-28	97.3	2.3	1	1	1e-31	3.7e-28	96	2.1	129	365	76	340	63	349	0.86	-	GCF_020271605.1_protein.faa_WP_135013402.1
GCF_020042605.1_protein.faa_WP_223375605.1	-	543	kpsD_final_mafft	-	594	4.8e-177	586.6	14.3	1	1	3.1e-180	5.3e-177	586.5	14.3	49	579	1	543	1	543	0.89	-	GCF_020042605.1_protein.faa_WP_223375605.1
GCF_017352255.1_protein.faa_WP_021112145.1	-	384	kpsD_final_mafft	-	594	1.1e-35	120.1	3.1	1	1	1.8e-38	1.9e-35	119.3	3.1	129	342	79	309	66	331	0.89	-	GCF_017352255.1_protein.faa_WP_021112145.1
GCF_032296485.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	3.4e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_032296485.1_protein.faa_WP_001298258.1
GCF_032296485.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5e-34	115.7	2.9	1	1	1.1e-36	1.3e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_032296485.1_protein.faa_WP_000978098.1
GCF_004792595.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8.3e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_004792595.1_protein.faa_WP_005723127.1
GCF_009696665.2_protein.faa_WP_229774258.1	-	365	kpsD_final_mafft	-	594	4.2e-24	82.4	5	1	1	3.6e-27	1.1e-23	81	4.9	133	361	71	335	46	342	0.78	-	GCF_009696665.2_protein.faa_WP_229774258.1
GCF_012931585.1_protein.faa_WP_244956568.1	-	597	kpsD_final_mafft	-	594	7.6e-187	620.2	5.8	1	1	6.3e-190	8.5e-187	620	5.8	47	577	7	596	1	597	0.86	-	GCF_012931585.1_protein.faa_WP_244956568.1
GCF_012931585.1_protein.faa_WP_169046268.1	-	701	kpsD_final_mafft	-	594	1.5e-97	325.4	0	1	5	2.8e-35	3.8e-32	109.3	0.1	133	286	26	179	20	190	0.94	-	GCF_012931585.1_protein.faa_WP_169046268.1
GCF_020720025.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020720025.1_protein.faa_WP_002855298.1
GCF_016406205.1_protein.faa_WP_198861015.1	-	381	kpsD_final_mafft	-	594	3.8e-35	119.2	1.5	1	1	4e-38	1.6e-34	117.2	1.5	124	338	68	301	19	329	0.86	-	GCF_016406205.1_protein.faa_WP_198861015.1
GCF_023586965.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8.2e-38	127.1	0.4	1	1	6.5e-41	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_023586965.1_protein.faa_WP_005723127.1
GCF_008632635.1_protein.faa_WP_002133355.1	-	366	kpsD_final_mafft	-	594	2.1e-26	90.2	8.8	1	1	1.5e-28	5.5e-25	85.5	8.7	129	363	76	338	2	339	0.84	-	GCF_008632635.1_protein.faa_WP_002133355.1
GCF_904863105.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_904863105.1_protein.faa_WP_001331697.1
GCF_904863105.1_protein.faa_WP_000978107.1	-	379	kpsD_final_mafft	-	594	4.5e-34	116	2.7	1	1	7e-37	1.1e-33	114.6	2.7	122	363	72	346	1	354	0.84	-	GCF_904863105.1_protein.faa_WP_000978107.1
GCF_000466105.2_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.6e-179	592.9	15.7	1	1	3.8e-182	6.3e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_000466105.2_protein.faa_WP_002851485.1
GCF_032295845.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	3.4e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_032295845.1_protein.faa_WP_001298258.1
GCF_032295845.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5.2e-34	115.7	2.9	1	1	1.1e-36	1.4e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_032295845.1_protein.faa_WP_000978098.1
GCF_018885125.1_protein.faa_WP_002889970.1	-	552	kpsD_final_mafft	-	594	7.2e-180	595.9	15.3	1	1	4.9e-183	8.1e-180	595.7	15.3	49	579	1	552	1	552	0.89	-	GCF_018885125.1_protein.faa_WP_002889970.1
GCF_001870105.1_protein.faa_WP_002894124.1	-	552	kpsD_final_mafft	-	594	8.8e-179	592.4	15.3	1	1	5.5e-182	9.8e-179	592.2	15.3	49	579	1	552	1	552	0.9	-	GCF_001870105.1_protein.faa_WP_002894124.1
GCF_003368205.1_protein.faa_WP_115794632.1	-	552	kpsD_final_mafft	-	594	4.7e-180	596.4	15.4	1	1	3.5e-183	5.3e-180	596.2	15.4	49	579	1	552	1	552	0.89	-	GCF_003368205.1_protein.faa_WP_115794632.1
GCF_029774075.1_protein.faa_WP_279453500.1	-	385	kpsD_final_mafft	-	594	3.3e-37	125.1	2.2	1	1	4.6e-40	4.7e-37	124.6	2.2	122	339	72	306	12	329	0.86	-	GCF_029774075.1_protein.faa_WP_279453500.1
GCF_009739575.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_009739575.1_protein.faa_WP_005723127.1
GCF_028583465.1_protein.faa_WP_098714270.1	-	366	kpsD_final_mafft	-	594	2.3e-27	93.4	5.5	1	1	1.3e-30	4.5e-27	92.4	5.5	114	365	71	340	1	349	0.8	-	GCF_028583465.1_protein.faa_WP_098714270.1
GCF_030344975.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	3.4e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_030344975.1_protein.faa_WP_001331697.1
GCF_030344975.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.9e-34	115.9	2.8	1	1	1e-36	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_030344975.1_protein.faa_WP_000978094.1
GCF_033129365.1_protein.faa_WP_317729353.1	-	552	kpsD_final_mafft	-	594	1.1e-179	595.3	15.7	1	1	7.4e-183	1.2e-179	595.1	15.7	49	579	1	552	1	552	0.89	-	GCF_033129365.1_protein.faa_WP_317729353.1
GCF_025790865.1_protein.faa_WP_002869183.1	-	552	kpsD_final_mafft	-	594	3.9e-180	596.8	14.9	1	1	2.6e-183	4.4e-180	596.6	14.9	49	579	1	552	1	552	0.9	-	GCF_025790865.1_protein.faa_WP_002869183.1
GCF_014058465.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.5e-38	126.8	0.4	1	1	1.6e-40	1.6e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_014058465.1_protein.faa_WP_010906973.1
GCF_023573005.1_protein.faa_WP_064972995.1	-	387	kpsD_final_mafft	-	594	9.3e-38	126.9	0.5	1	1	1.5e-40	1.5e-37	126.2	0.5	126	337	78	305	45	336	0.89	-	GCF_023573005.1_protein.faa_WP_064972995.1
GCF_026153335.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.9e-38	126.8	0.4	1	1	1.6e-40	1.6e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_026153335.1_protein.faa_WP_010906973.1
GCF_004353225.1_protein.faa_WP_133004959.1	-	374	kpsD_final_mafft	-	594	3.3e-36	122.5	3.5	1	1	2.8e-39	4.7e-36	122	3.5	131	367	79	348	68	355	0.86	-	GCF_004353225.1_protein.faa_WP_133004959.1
GCF_004353225.1_protein.faa_WP_133005720.1	-	214	kpsD_final_mafft	-	594	6.7e-30	101.6	0.5	1	1	5.2e-33	8.5e-30	101.3	0.5	127	287	46	212	28	213	0.9	-	GCF_004353225.1_protein.faa_WP_133005720.1
GCF_001908435.2_protein.faa_WP_074051010.1	-	890	kpsD_final_mafft	-	594	1.4e-148	494.2	13	1	2	5.3e-102	7.2e-99	330.1	7.9	57	443	12	495	1	557	0.75	-	GCF_001908435.2_protein.faa_WP_074051010.1
GCF_001908435.2_protein.faa_WP_074050418.1	-	699	kpsD_final_mafft	-	594	6.2e-98	327	8.3	1	6	1.6e-37	2.2e-34	117.1	1.5	129	286	24	181	17	193	0.92	-	GCF_001908435.2_protein.faa_WP_074050418.1
GCF_001908435.2_protein.faa_WP_074051978.1	-	373	kpsD_final_mafft	-	594	4.4e-41	139.2	0.9	1	1	4.4e-44	5.9e-41	138.8	0.9	121	365	70	341	30	351	0.88	-	GCF_001908435.2_protein.faa_WP_074051978.1
GCF_001908435.2_protein.faa_WP_074051730.1	-	177	kpsD_final_mafft	-	594	4.7e-21	73.1	0.7	1	1	6.1e-24	8.2e-21	72.3	0.7	115	265	15	164	12	174	0.89	-	GCF_001908435.2_protein.faa_WP_074051730.1
GCF_900186835.1_protein.faa_WP_005765508.1	-	393	kpsD_final_mafft	-	594	3.1e-38	128.5	0.5	1	1	2e-41	4e-38	128.1	0.5	122	355	77	321	7	343	0.86	-	GCF_900186835.1_protein.faa_WP_005765508.1
GCF_014058645.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.5e-38	126.8	0.4	1	1	1.6e-40	1.6e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_014058645.1_protein.faa_WP_010906973.1
GCF_016890085.1_protein.faa_WP_081527055.1	-	651	kpsD_final_mafft	-	594	4.3e-131	436.2	0.1	1	1	3.1e-134	4.6e-131	436.1	0.1	80	573	49	644	1	651	0.77	-	GCF_016890085.1_protein.faa_WP_081527055.1
GCF_016890085.1_protein.faa_WP_081527158.1	-	259	kpsD_final_mafft	-	594	2.5e-16	57.2	0	1	1	2.2e-19	3.2e-16	56.8	0	127	287	43	212	32	220	0.86	-	GCF_016890085.1_protein.faa_WP_081527158.1
GCF_030060785.1_protein.faa_WP_283293446.1	-	183	kpsD_final_mafft	-	594	4.4e-25	85.8	0	1	1	2.4e-28	8.4e-25	84.9	0	129	285	32	179	20	181	0.91	-	GCF_030060785.1_protein.faa_WP_283293446.1
GCF_029536655.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.5e-186	618.2	1.3	1	1	4.3e-189	3.8e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_029536655.1_protein.faa_WP_001298258.1
GCF_029536655.1_protein.faa_WP_005007064.1	-	379	kpsD_final_mafft	-	594	3.8e-39	132.6	1.4	1	1	5.3e-42	4.7e-39	132.3	1.4	120	365	72	346	1	356	0.82	-	GCF_029536655.1_protein.faa_WP_005007064.1
GCF_029536655.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.4e-34	115.9	2.8	1	1	1.3e-36	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_029536655.1_protein.faa_WP_000978094.1
GCF_016904715.2_protein.faa_WP_002461910.1	-	379	kpsD_final_mafft	-	594	4.3e-39	132.4	1.3	1	1	3.7e-42	5.5e-39	132.1	1.3	114	365	68	346	1	356	0.8	-	GCF_016904715.2_protein.faa_WP_002461910.1
GCF_031665995.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_031665995.1_protein.faa_WP_001298258.1
GCF_031665995.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_031665995.1_protein.faa_WP_000978094.1
GCF_021441925.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1.1e-37	126.8	0.4	1	1	1.6e-40	1.8e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_021441925.1_protein.faa_WP_010906973.1
GCF_034422975.1_protein.faa_WP_322407020.1	-	880	kpsD_final_mafft	-	594	3.4e-144	478.7	3.8	1	2	3.7e-97	9.4e-94	312.1	2.2	88	428	22	462	1	535	0.71	-	GCF_034422975.1_protein.faa_WP_322407020.1
GCF_029536615.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_029536615.1_protein.faa_WP_001331697.1
GCF_029536615.1_protein.faa_WP_000978107.1	-	379	kpsD_final_mafft	-	594	4.5e-34	116	2.7	1	1	7e-37	1.1e-33	114.6	2.7	122	363	72	346	1	354	0.84	-	GCF_029536615.1_protein.faa_WP_000978107.1
GCF_001865595.1_protein.faa_WP_002876059.1	-	552	kpsD_final_mafft	-	594	9.2e-179	592.3	15.8	1	1	5.8e-182	1e-178	592.2	15.8	49	579	1	552	1	552	0.9	-	GCF_001865595.1_protein.faa_WP_002876059.1
GCF_019046965.1_protein.faa_WP_216946850.1	-	366	kpsD_final_mafft	-	594	4.7e-28	95.6	3.7	1	1	3.4e-31	1.2e-27	94.3	3.6	129	365	76	340	60	349	0.85	-	GCF_019046965.1_protein.faa_WP_216946850.1
GCF_033129305.1_protein.faa_WP_002934751.1	-	552	kpsD_final_mafft	-	594	6.4e-179	592.8	15.6	1	1	4.1e-182	7.1e-179	592.7	15.6	49	579	1	552	1	552	0.89	-	GCF_033129305.1_protein.faa_WP_002934751.1
GCF_023981045.1_protein.faa_WP_000872579.1	-	366	kpsD_final_mafft	-	594	1.7e-28	97.2	2.3	1	1	9.4e-32	3.5e-28	96.1	2.3	129	366	76	342	2	350	0.84	-	GCF_023981045.1_protein.faa_WP_000872579.1
GCF_001578435.2_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8.3e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_001578435.2_protein.faa_WP_005723127.1
GCF_020718705.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020718705.1_protein.faa_WP_002855298.1
GCF_025847205.1_protein.faa_WP_264219247.1	-	191	kpsD_final_mafft	-	594	1.5e-25	88.1	0.3	1	1	1.3e-28	1.8e-25	87.8	0.3	127	285	39	187	21	190	0.87	-	GCF_025847205.1_protein.faa_WP_264219247.1
GCF_025847205.1_protein.faa_WP_264220572.1	-	395	kpsD_final_mafft	-	594	1.1e-19	68.7	2.5	1	1	1.1e-22	1.5e-19	68.2	2.5	133	334	83	297	71	321	0.81	-	GCF_025847205.1_protein.faa_WP_264220572.1
