GCF_001587015.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001587035.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001602095.1_protein.faa_WP_066388763.1	-	326	CST-I	PF06002.18	295	2.4e-86	286.4	9.7	1	1	3.4e-89	2.8e-86	286.2	9.7	3	295	9	303	7	303	0.92	alpha-2,3-sialyltransferase	[Helicobacter	himalayensis]
GCF_001602095.1_protein.faa_WP_066388765.1	-	318	CST-I	PF06002.18	295	1.1e-70	235.0	6.5	1	1	1.7e-73	1.4e-70	234.7	6.5	2	293	11	313	10	315	0.87	alpha-2,3-sialyltransferase	[Helicobacter	himalayensis]
GCF_001642935.1_protein.faa_WP_066293633.1	-	95	CST-I	PF06002.18	295	0.0025	15.2	0.1	1	1	6.3e-07	0.0025	15.2	0.1	99	181	6	87	1	93	0.77	hypothetical	protein	[Fictibacillus	arsenicus]
GCF_001663095.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	5e-176	581.2	13.4	1	1	2.6e-179	5.6e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_001686905.1_protein.faa_WP_002869021.1	-	291	CST-I	PF06002.18	295	9.9e-109	359.9	25.6	1	1	1.3e-111	1.1e-108	359.8	25.6	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001686905.1_protein.faa_WP_065453922.1	-	416	CST-I	PF06002.18	295	2e-87	290.0	19.8	1	2	2.4e-90	2e-87	290.0	19.8	2	253	13	258	12	266	0.97	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001686905.1_protein.faa_WP_065453922.1	-	416	CST-I	PF06002.18	295	2e-87	290.0	19.8	2	2	0.077	64	-0.5	0.2	254	282	297	325	265	335	0.60	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001687475.2_protein.faa_WP_066776435.1	-	296	CST-I	PF06002.18	295	1.3e-105	349.5	23.9	1	1	2.2e-108	1.5e-105	349.2	23.9	2	294	3	292	2	293	0.97	alpha-2,3-sialyltransferase	[Campylobacter	hepaticus]
GCF_001687475.2_protein.faa_WP_240621312.1	-	417	CST-I	PF06002.18	295	1.7e-86	286.7	23.5	1	3	2.4e-89	1.7e-86	286.7	23.5	2	252	3	247	2	263	0.96	alpha-2,3-sialyltransferase	[Campylobacter	hepaticus]
GCF_001687475.2_protein.faa_WP_240621312.1	-	417	CST-I	PF06002.18	295	1.7e-86	286.7	23.5	2	3	0.1	73	-1.0	0.1	246	282	292	328	248	339	0.64	alpha-2,3-sialyltransferase	[Campylobacter	hepaticus]
GCF_001687475.2_protein.faa_WP_240621312.1	-	417	CST-I	PF06002.18	295	1.7e-86	286.7	23.5	3	3	0.63	4.5e+02	-3.5	0.0	264	283	380	399	353	401	0.73	alpha-2,3-sialyltransferase	[Campylobacter	hepaticus]
GCF_001692755.1_protein.faa_WP_003515651.1	-	206	CST-I	PF06002.18	295	0.00012	19.0	2.9	1	1	5.8e-08	0.00017	18.6	2.9	161	282	22	143	18	152	0.70	regulatory	protein	RecX	[Acetivibrio	thermocellus]
GCF_001693335.1_protein.faa_WP_066340369.1	-	307	CST-I	PF06002.18	295	1.4e-69	231.2	3.6	1	1	1.2e-72	1.7e-69	230.9	3.6	3	284	4	293	2	305	0.85	alpha-2,3-sialyltransferase	[Helicobacter	enhydrae]
GCF_001712815.1_protein.faa_WP_002335627.1	-	80	CST-I	PF06002.18	295	0.0053	13.2	0.1	1	1	2.6e-06	0.0056	13.2	0.1	226	283	20	75	4	79	0.80	MULTISPECIES:	helix-turn-helix	domain-containing	protein	[Bacilli]
GCF_001717625.1_protein.faa_WP_069176571.1	-	292	CST-I	PF06002.18	295	6.5e-109	360.6	24.7	1	1	4.3e-112	7.3e-109	360.4	24.7	2	295	3	292	2	292	0.97	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001721885.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	5e-176	581.2	13.4	1	1	2.6e-179	5.6e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_001721945.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001721965.1_protein.faa_WP_002878823.1	-	291	CST-I	PF06002.18	295	2.2e-109	362.0	24.7	1	1	1.5e-112	2.5e-109	361.9	24.7	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001721985.1_protein.faa_WP_042635873.1	-	292	CST-I	PF06002.18	295	4.5e-108	357.9	23.8	1	1	2.9e-111	5.1e-108	357.7	23.8	2	295	3	292	2	292	0.97	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001767215.1_protein.faa_WP_002869021.1	-	291	CST-I	PF06002.18	295	9.8e-109	359.9	25.6	1	1	1.3e-111	1.1e-108	359.8	25.6	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001767215.1_protein.faa_WP_070363994.1	-	425	CST-I	PF06002.18	295	2e-87	290.0	19.8	1	2	2.4e-90	2e-87	290.0	19.8	2	253	13	258	12	266	0.97	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001767215.1_protein.faa_WP_070363994.1	-	425	CST-I	PF06002.18	295	2e-87	290.0	19.8	2	2	0.11	90	-1.1	0.1	256	282	299	325	268	335	0.67	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001856725.1_protein.faa_WP_071162824.1	-	332	CST-I	PF06002.18	295	9.2e-110	363.3	20.2	1	1	1.4e-112	1.2e-109	363.0	20.2	2	294	42	330	41	331	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_001856725.1_protein.faa_WP_239496076.1	-	303	CST-I	PF06002.18	295	8.7e-109	360.1	15.1	1	1	1.3e-111	1e-108	359.9	15.1	1	295	9	297	9	297	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_001865415.1_protein.faa_WP_070318230.1	-	291	CST-I	PF06002.18	295	3.3e-109	361.6	24.5	1	1	2.1e-112	3.8e-109	361.4	24.5	2	295	3	291	2	291	0.98	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001865455.1_protein.faa_WP_255296982.1	-	78	CST-I	PF06002.18	295	3.3e-07	26.7	0.9	1	1	1.9e-10	3.3e-07	26.7	0.9	125	176	9	60	1	74	0.83	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_001865475.1_protein.faa_WP_071314927.1	-	80	CST-I	PF06002.18	295	2.1e-28	96.3	2.2	1	1	1.4e-31	2.4e-28	96.1	2.2	1	70	10	79	10	80	0.97	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_001865495.1_protein.faa_WP_002780628.1	-	296	CST-I	PF06002.18	295	6.1e-61	203.1	19.6	1	1	4.2e-64	7.3e-61	202.9	19.6	1	292	10	289	10	292	0.92	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001865555.1_protein.faa_WP_255296982.1	-	78	CST-I	PF06002.18	295	3.4e-07	26.7	0.9	1	1	1.9e-10	3.4e-07	26.7	0.9	125	176	9	60	1	74	0.83	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_001865595.1_protein.faa_WP_020836824.1	-	291	CST-I	PF06002.18	295	3.6e-109	361.5	25.8	1	1	2.3e-112	4e-109	361.3	25.8	2	295	3	291	2	291	0.98	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001870085.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001870105.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001874445.1_protein.faa_WP_005751869.1	-	303	CST-I	PF06002.18	295	3.7e-175	578.3	12.6	1	1	2e-178	4.2e-175	578.1	12.6	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_001951235.1_protein.faa_WP_002878823.1	-	291	CST-I	PF06002.18	295	2.3e-109	362.0	24.7	1	1	1.5e-112	2.6e-109	361.9	24.7	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001951295.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001951315.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001951335.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001956795.1_protein.faa_WP_010907055.1	-	303	CST-I	PF06002.18	295	1.6e-176	582.8	14.1	1	1	8.8e-180	1.8e-176	582.6	14.1	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_001999985.1_protein.faa_WP_167619983.1	-	326	CST-I	PF06002.18	295	3.1e-79	263.6	15.5	1	1	5.5e-82	4.2e-79	263.1	15.5	2	294	11	322	10	323	0.87	alpha-2,3-sialyltransferase	[Helicobacter	bilis]
GCF_001999985.1_protein.faa_WP_254422419.1	-	343	CST-I	PF06002.18	295	6e-78	259.3	6.9	1	1	1e-80	7.7e-78	259.0	6.9	2	294	29	339	28	340	0.85	alpha-2,3-sialyltransferase	[Helicobacter	bilis]
GCF_001999985.1_protein.faa_WP_254422545.1	-	336	CST-I	PF06002.18	295	2.5e-71	237.6	19.0	1	1	2.4e-72	1.8e-69	231.5	19.0	26	293	1	279	1	281	0.87	alpha-2,3-sialyltransferase	[Helicobacter	bilis]
GCF_002059225.1_protein.faa_WP_010907055.1	-	303	CST-I	PF06002.18	295	1.7e-176	582.8	14.1	1	1	8.8e-180	1.9e-176	582.6	14.1	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002068175.1_protein.faa_WP_010907055.1	-	303	CST-I	PF06002.18	295	1.7e-176	582.8	14.1	1	1	8.8e-180	1.9e-176	582.6	14.1	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002073475.2_protein.faa_WP_080003781.1	-	304	CST-I	PF06002.18	295	3.2e-110	364.8	18.4	1	1	2.3e-113	3.8e-110	364.6	18.4	1	294	13	300	13	301	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002078415.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0061	13.2	0.3	1	1	2.4e-06	0.0061	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078435.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0063	13.2	0.3	1	1	2.4e-06	0.0063	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078475.4_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0058	13.2	0.3	1	1	2.4e-06	0.0058	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078495.2_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0058	13.2	0.3	1	1	2.4e-06	0.0058	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078615.3_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0061	13.2	0.3	1	1	2.4e-06	0.0061	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078855.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0057	13.2	0.3	1	1	2.4e-06	0.0057	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078975.3_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0063	13.2	0.3	1	1	2.4e-06	0.0063	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002078995.3_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0058	13.2	0.3	1	1	2.4e-06	0.0058	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002101355.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002104335.1_protein.faa_WP_084483688.1	-	250	CST-I	PF06002.18	295	2.1e-42	142.4	18.3	1	1	2.5e-45	2.3e-42	142.2	18.3	51	295	4	249	1	249	0.85	alpha-2,3-sialyltransferase	[Campylobacter	cuniculorum]
GCF_002104335.1_protein.faa_WP_051521710.1	-	59	CST-I	PF06002.18	295	2.3e-17	60.1	0.1	1	1	2.8e-20	2.6e-17	60.0	0.1	2	46	9	53	8	58	0.92	alpha-2,3-sialyltransferase	[Campylobacter	cuniculorum]
GCF_002148215.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0057	13.2	0.3	1	1	2.4e-06	0.0057	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002192595.1_protein.faa_WP_038244395.1	-	179	CST-I	PF06002.18	295	0.012	12.7	0.0	1	1	4.5e-06	0.015	12.4	0.0	167	263	18	116	6	131	0.74	class	IV	adenylate	cyclase	[Yersinia	ruckeri]
GCF_002209005.1_protein.faa_WP_002882964.1	-	291	CST-I	PF06002.18	295	1.5e-107	356.0	26.2	1	1	2.1e-110	1.7e-107	355.9	26.2	2	295	3	291	2	291	0.98	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_002209005.1_protein.faa_WP_016818344.1	-	424	CST-I	PF06002.18	295	8.4e-87	288.0	20.7	1	2	1e-89	8.4e-87	288.0	20.7	2	253	13	258	12	268	0.97	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_002209005.1_protein.faa_WP_016818344.1	-	424	CST-I	PF06002.18	295	8.4e-87	288.0	20.7	2	2	0.042	35	0.3	0.3	165	282	292	325	262	337	0.56	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_002209025.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002209045.1_protein.faa_WP_042635873.1	-	292	CST-I	PF06002.18	295	4.2e-108	357.9	23.8	1	1	2.9e-111	4.7e-108	357.7	23.8	2	295	3	292	2	292	0.97	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002214785.1_protein.faa_WP_002869021.1	-	291	CST-I	PF06002.18	295	1e-108	359.9	25.6	1	1	1.3e-111	1.1e-108	359.8	25.6	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002214785.1_protein.faa_WP_002855892.1	-	425	CST-I	PF06002.18	295	6.6e-87	288.3	23.8	1	2	8.5e-90	7.1e-87	288.2	22.0	2	253	13	258	12	295	0.96	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_002214785.1_protein.faa_WP_002855892.1	-	425	CST-I	PF06002.18	295	6.6e-87	288.3	23.8	2	2	0.075	63	-0.5	0.1	254	282	297	325	261	335	0.60	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_002224325.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002224385.1_protein.faa_WP_002869021.1	-	291	CST-I	PF06002.18	295	9.2e-109	359.9	25.6	1	1	6.7e-112	1e-108	359.8	25.6	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002243535.1_protein.faa_WP_002335627.1	-	80	CST-I	PF06002.18	295	0.0057	13.2	0.1	1	1	2.6e-06	0.0061	13.2	0.1	226	283	20	75	4	79	0.80	MULTISPECIES:	helix-turn-helix	domain-containing	protein	[Bacilli]
GCF_002407125.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002442495.2_protein.faa_WP_038275658.1	-	179	CST-I	PF06002.18	295	0.012	12.7	0.0	1	1	4.5e-06	0.015	12.4	0.0	167	263	18	116	6	131	0.74	class	IV	adenylate	cyclase	[Yersinia	ruckeri]
GCF_002587105.1_protein.faa_WP_002852706.1	-	291	CST-I	PF06002.18	295	6.8e-109	360.5	26.7	1	1	4.6e-112	7.6e-109	360.3	26.7	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_002763695.1_protein.faa_WP_008794743.1	-	64	CST-I	PF06002.18	295	0.014	12.0	0.0	1	1	5.6e-06	0.014	12.0	0.0	133	179	2	49	1	64	0.81	MULTISPECIES:	hypothetical	protein	[Fusobacterium]
GCF_002763915.1_protein.faa_WP_008794743.1	-	64	CST-I	PF06002.18	295	0.014	12.0	0.0	1	1	5.6e-06	0.014	12.0	0.0	133	179	2	49	1	64	0.81	MULTISPECIES:	hypothetical	protein	[Fusobacterium]
GCF_002804185.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0053	13.2	0.3	1	1	2.4e-06	0.0053	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002804285.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0055	13.2	0.3	1	1	2.4e-06	0.0055	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002859245.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859265.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.9e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859285.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.4e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859305.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.4e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859325.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.9e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859345.1_protein.faa_WP_101800434.1	-	303	CST-I	PF06002.18	295	1.8e-175	579.4	12.8	1	1	9.6e-179	2e-175	579.2	12.8	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859365.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.4e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859385.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859405.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859425.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	5.2e-176	581.2	13.4	1	1	2.6e-179	5.8e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859445.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.6e-176	581.2	13.4	1	1	2.6e-179	5.2e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859465.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	5.3e-176	581.2	13.4	1	1	2.6e-179	6e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859485.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859505.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	5e-176	581.2	13.4	1	1	2.6e-179	5.7e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859525.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002859545.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002891825.2_protein.faa_WP_102827040.1	-	303	CST-I	PF06002.18	295	1.3e-174	576.6	14.3	1	1	6.8e-178	1.4e-174	576.4	14.3	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002891845.2_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.9e-176	581.2	13.4	1	1	2.6e-179	5.5e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002895225.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0054	13.2	0.3	1	1	2.4e-06	0.0054	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_002948995.1_protein.faa_WP_367121964.1	-	32	CST-I	PF06002.18	295	3.6e-08	30.0	0.7	1	1	2e-11	3.7e-08	30.0	0.7	273	295	10	32	5	32	0.93	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_002966575.1_protein.faa_WP_233993175.1	-	306	CST-I	PF06002.18	295	2.7e-108	358.5	16.2	1	1	1.9e-111	3.2e-108	358.3	16.2	1	294	13	302	13	303	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966595.1_protein.faa_WP_105211005.1	-	336	CST-I	PF06002.18	295	3.6e-108	358.1	16.2	1	1	2.7e-111	4.5e-108	357.8	16.2	1	294	43	332	43	333	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966615.1_protein.faa_WP_105182546.1	-	310	CST-I	PF06002.18	295	2.3e-107	355.5	16.0	1	1	1.6e-110	2.7e-107	355.3	16.0	1	294	17	306	17	307	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966635.1_protein.faa_WP_105197415.1	-	316	CST-I	PF06002.18	295	6.6e-108	357.3	14.3	1	1	8.9e-111	7.7e-108	357.1	14.3	1	295	22	310	22	310	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966635.1_protein.faa_WP_105182546.1	-	310	CST-I	PF06002.18	295	2.3e-107	355.5	16.0	1	1	3.1e-110	2.7e-107	355.3	16.0	1	294	17	306	17	307	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966655.1_protein.faa_WP_233994533.1	-	308	CST-I	PF06002.18	295	3.5e-107	354.8	18.6	1	1	2.5e-110	4.2e-107	354.6	18.6	1	294	17	304	17	305	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966675.1_protein.faa_WP_105175963.1	-	316	CST-I	PF06002.18	295	3.8e-107	354.7	18.6	1	1	2.8e-110	4.6e-107	354.5	18.6	1	294	25	312	25	313	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966695.1_protein.faa_WP_105211005.1	-	336	CST-I	PF06002.18	295	3.7e-108	358.1	16.2	1	1	2.7e-111	4.7e-108	357.8	16.2	1	294	43	332	43	333	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966715.1_protein.faa_WP_233993175.1	-	306	CST-I	PF06002.18	295	2.8e-108	358.5	16.2	1	1	1.9e-111	3.3e-108	358.3	16.2	1	294	13	302	13	303	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966735.1_protein.faa_WP_011272254.1	-	326	CST-I	PF06002.18	295	4.7e-111	367.5	15.3	1	1	7e-114	5.7e-111	367.3	15.3	1	295	32	320	32	320	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_002966735.1_protein.faa_WP_105197623.1	-	334	CST-I	PF06002.18	295	4.1e-107	354.6	20.3	1	1	6.3e-110	5.1e-107	354.3	20.3	1	294	41	330	41	331	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
